University of Michigan	273020
University of Minnesota	145189
University of Illinois at Urbana–Champaign	137908
University of California, Northern Regional Library Facility	81227
The Ohio State University	79856
Pennsylvania State University	68928
University of California, Riverside	67340
Northwestern University	58381
Technical Report Archive & Image Library	55515
Purdue University	45005
University of California, San Diego	38997
Cornell University	38309
University of Virginia	34006
University of California, Southern Regional Library Facility	28230
Harvard University	23883
University of California, Berkeley	21701
Michigan State University	14114
New York Public Library	13467
Columbia University	13222
University of California, Santa Cruz	10850
University of California, Los Angeles	10002
Indiana University	9373
State University System of Florida	9267
University of Wisconsin, Madison	8081
University of Texas at Austin	5729
Princeton University	4635
University of Chicago	4088
University of Illinois at Urbana-Champaign	3468
Texas A&M University	3367
Library of Congress	2802
University of California, Davis	2762
University of Iowa	1628
University of Massachusetts Amherst	741
University of California, Irvine	363
University of Missouri, Columbia	296
University of Alberta	293
University of North Carolina at Chapel Hill	239
The Getty Research Institute	165
Yale University	135
Duke University	67
University of Connecticut	62
University of Washington	46
Boston College	43
North Carolina State University	37
Emory University	25
Tufts University	21
University of California, San Francisco	6
	3
University of Maryland, College Park	1
Universidad Complutense de Madrid	1
University of Delaware	1
McGill University	1
