Congressional Record	1370	7200	19.03
Statistical Abstract	166	198	83.84
United States Reports	737	1345	54.8
Foreign Relations	1050	4268	24.6
Congressional Serial Set	21374	53080	40.27
Civil Rights Commission	906	2799	32.37
Economic Report Of The President	60	240	25.0
