1789	19
1790	13
1791	15
1792	8
1793	17
1794	9
1795	8
1796	20
1797	14
1798	15
1799	21
1800	15
1801	14
1802	22
1803	22
1804	21
1805	23
1806	28
1807	27
1808	42
1809	23
1810	46
1811	22
1812	51
1813	40
1814	53
1815	53
1816	33
1817	33
1818	28
1819	90
1820	39
1821	29
1822	43
1823	49
1824	50
1825	64
1826	56
1827	37
1828	76
1829	52
1830	131
1831	55
1832	163
1833	69
1834	254
1835	84
1836	110
1837	288
1838	91
1839	63
1840	116
1841	127
1842	84
1843	63
1844	95
1845	149
1846	122
1847	112
1848	212
1849	109
1850	254
1851	195
1852	265
1853	263
1854	340
1855	216
1856	523
1857	278
1858	301
1859	277
1860	329
1861	489
1862	431
1863	392
1864	442
1865	390
1866	454
1867	405
1868	497
1869	500
1870	498
1871	561
1872	738
1873	649
1874	661
1875	490
1876	583
1877	578
1878	536
1879	643
1880	666
1881	620
1882	772
1883	856
1884	803
1885	958
1886	1150
1887	865
1888	941
1889	1030
1890	969
1891	1040
1892	1749
1893	2427
1894	3343
1895	1967
1896	1537
1897	1315
1898	1686
1899	1846
1900	2133
1901	2498
1902	2502
1903	1954
1904	1946
1905	2248
1906	2649
1907	2691
1908	2519
1909	3195
1910	2858
1911	3372
1912	3281
1913	4235
1914	3449
1915	3328
1916	4104
1917	4463
1918	4249
1919	4600
1920	3857
1921	3286
1922	4310
1923	2754
1924	2766
1925	2823
1926	2733
1927	2950
1928	2847
1929	5333
1930	3267
1931	3497
1932	3334
1933	3679
1934	4133
1935	6829
1936	3610
1937	4329
1938	4750
1939	5114
1940	5511
1941	6252
1942	5334
1943	4553
1944	4664
1945	4956
1946	5840
1947	7091
1948	7122
1949	8530
1950	7256
1951	7092
1952	8252
1953	7354
1954	7719
1955	8054
1956	8356
1957	8526
1958	9228
1959	10591
1960	11869
1961	12370
1962	12394
1963	13286
1964	14576
1965	14309
1966	14416
1967	14229
1968	15152
1969	15328
1970	15590
1971	17046
1972	18984
1973	18822
1974	19986
1975	22759
1976	27450
1977	27503
1978	27536
1979	27708
1980	28411
1981	26432
1982	21237
1983	22009
1984	22901
1985	21145
1986	20474
1987	19900
1988	19534
1989	20534
1990	20565
1991	18593
1992	19298
1993	17740
1994	16465
1995	17577
1996	16036
1997	15755
1998	15735
1999	27494
2000	13571
2001	10269
2002	10061
2003	9894
2004	9185
2005	7102
2006	6574
2007	6412
2008	5240
2009	6116
2010	4297
2011	2683
2012	1970
2013	1418
2014	820
2015	307
2016	216
