Congressional Record	1769	7289	24.27
Statistical Abstract	173	199	86.93
United States Reports	757	1501	50.43
Foreign Relations	1059	4325	24.49
Congressional Serial Set	21391	53375	40.08
Civil Rights Commission	933	2820	33.09
