1789	19
1790	15
1791	15
1792	8
1793	17
1794	9
1795	8
1796	20
1797	14
1798	15
1799	22
1800	15
1801	14
1802	22
1803	22
1804	21
1805	23
1806	28
1807	28
1808	43
1809	23
1810	39
1811	22
1812	51
1813	40
1814	53
1815	54
1816	33
1817	33
1818	28
1819	92
1820	39
1821	30
1822	43
1823	49
1824	74
1825	64
1826	55
1827	37
1828	76
1829	51
1830	132
1831	58
1832	165
1833	69
1834	258
1835	83
1836	114
1837	320
1838	94
1839	68
1840	115
1841	126
1842	83
1843	62
1844	96
1845	149
1846	120
1847	112
1848	213
1849	113
1850	256
1851	197
1852	266
1853	263
1854	354
1855	219
1856	533
1857	284
1858	305
1859	278
1860	330
1861	494
1862	445
1863	403
1864	449
1865	403
1866	466
1867	413
1868	516
1869	510
1870	523
1871	570
1872	756
1873	673
1874	687
1875	500
1876	602
1877	622
1878	548
1879	650
1880	686
1881	633
1882	785
1883	876
1884	848
1885	989
1886	1184
1887	888
1888	988
1889	1069
1890	989
1891	1084
1892	1783
1893	2510
1894	3397
1895	2018
1896	1572
1897	1392
1898	1736
1899	1966
1900	2190
1901	3110
1902	2566
1903	2017
1904	2022
1905	2328
1906	2754
1907	2771
1908	2609
1909	3371
1910	3028
1911	3574
1912	3493
1913	4436
1914	3687
1915	3553
1916	4330
1917	4706
1918	4462
1919	4859
1920	4073
1921	3546
1922	4616
1923	2988
1924	2852
1925	2976
1926	2884
1927	3190
1928	2965
1929	5516
1930	3492
1931	3899
1932	3540
1933	3854
1934	4238
1935	8589
1936	3727
1937	4459
1938	4925
1939	5280
1940	5642
1941	6439
1942	5608
1943	4731
1944	4824
1945	5146
1946	6114
1947	7374
1948	7522
1949	9105
1950	7565
1951	7369
1952	8575
1953	7784
1954	8153
1955	8315
1956	8607
1957	8710
1958	9366
1959	10717
1960	12060
1961	12830
1962	13105
1963	14022
1964	15426
1965	14875
1966	14987
1967	14849
1968	15911
1969	15894
1970	16383
1971	17719
1972	19722
1973	19473
1974	20588
1975	23372
1976	28190
1977	28530
1978	28390
1979	28416
1980	29228
1981	27162
1982	22118
1983	22630
1984	23703
1985	21991
1986	21910
1987	21252
1988	21105
1989	21910
1990	22112
1991	19723
1992	20333
1993	19015
1994	17636
1995	19101
1996	17345
1997	16893
1998	16450
1999	38306
2000	14114
2001	10751
2002	10597
2003	10432
2004	9589
2005	7428
2006	6873
2007	7742
2008	5458
2009	6299
2010	4346
2011	2698
2012	1990
2013	1427
2014	823
2015	316
2016	216
