Public Domain	1208034
In Copyright	122775
Public Domain only when viewed in US	38608
Undetermined	15375
Public Domain but access limited due to privacy concerns	1445
In copyright and permitted as world viewable by the copyright holder	674
Creative Commons Attribution 4.0 International license	669
Creative Commons Zero license (implies pd)	272
Creative Commons Attribution-ShareAlike 4.0 International license	149
Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International license	133
Creative Commons Attribution-NonCommercial-ShareAlike license, 3.0 Unported	127
available to nobody; blocked for all users	91
Creative Commons Attribution-NonCommercial 4.0 International license	74
In copyright in the US	51
out-of-print (implies in-copyright)	44
Creative Commons Attribution-NonCommercial-NoDerivatives license, 3.0 Unported	33
Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International license	17
Creative Commons Attribution-NonCommercial license, 3.0 Unported	7
Creative Commons Attribution-NoDerivatives license, 3.0 Unported	1
