Y 4	86445	Congress
Y 3	26373	Congress
A 13	12968	Agriculture
Y 1	10290	Congress
NAS 1	10101	National Aeronautics and Space Administration
I 28	9531	Interior Department
C 3	8437	Commerce Department
HE 20	8333	Health and Human Services Department
D 101	7021	Defense Department
I 19	6831	Interior Department
A 1	6741	Agriculture
GA 1	6158	Government Accountability Office
S 1	4763	State Department
C 13	4209	Commerce Department
EP 1	3734	Environmental protection Agency
D 301	3664	Defense Department
ED 1	3118	Education Department
I 49	2848	Interior Department
S 9	2703	State Department
HH 10	2692	Housing and Urban Development Department
L 2	2645	Labor Department
C 55	2336	Commerce Department
I 29	2141	Interior Department
D 103	1989	Defense Department
E 1	1797	Energy Department
I 1	1651	Interior Department
A 57	1408	Agriculture
HH 1	1316	Housing and Urban Development Department
PREX 3	1219	Executive Office of the President
A 17	1207	Agriculture
TD 2	1157	Transportation Department
FEM 1	1118	
AE 2	1073	National Archives and Records Administration
J 1	1028	Justice Department
C 22	1017	Commerce Department
FS 5	1011	
J 28	991	Justice Department
C 18	865	Commerce Department
GS 4	849	General Services Administration
C 61	839	Commerce Department
L 1	772	Labor Department
SI 1	763	Smithsonian Institution
ITC 1	752	International Trade Commission
I 53	746	Interior Department
TD 4	720	Transportation Department
TD 1	665	Transportation Department
D 1	639	Defense Department
TC 1	625	
A 93	617	Agriculture
TD 8	611	Transportation Department
SBA 1	603	Small Business Administration
I 27	593	Interior Department
T 22	588	Treasury Department
Y 10	586	Congress
D 5	582	Defense Department
VA 1	570	Veterans Affairs Department
HE 19	522	Health and Human Services Department
TD 7	521	Transportation Department
J 26	520	Justice Department
C 1	516	Commerce Department
C 56	463	Commerce Department
J 32	461	Justice Department
TD 5	456	Transportation Department
PM 1	444	Personnel Management Office
CR 1	443	Civil Rights Commission
J 29	430	Justice Department
L 37	414	Labor Department
L 13	412	Labor Department
HE 1	412	Health and Human Services Department
D 207	408	Defense Department
D 114	407	Defense Department
HE 23	406	Health and Human Services Department
LC 1	370	Library of Congress
FS 2	369	
D 214	346	Defense Department
L 35	345	Labor Department
NS 1	342	National Science Foundation
L 38	312	Labor Department
ER 1	309	
SI 3	307	Smithsonian Institution
L 36	307	Labor Department
PREX 1	304	Executive Office of the President
C 4	302	Commerce Department
HE 22	290	Health and Human Services Department
D 206	287	Defense Department
AE 1	282	National Archives and Records Administration
D 201	281	Defense Department
A 77	278	Agriculture
E 3	270	Energy Department
CS 1	264	
LC 14	262	Library of Congress
HE 3	260	Health and Human Services Department
C 57	255	Commerce Department
EP 2	251	Environmental protection Agency
C 30	247	Commerce Department
FT 1	242	Federal Trade Commission
P 1	236	United States Postal Service
T 17	233	Treasury Department
PR 32	228	President of the United States
A 4	223	Agriculture
C 46	222	Commerce Department
A 88	218	Agriculture
FR 1	217	Federal Reserve System Board of Governors
PREX 2	211	Executive Office of the President
JU 13	210	Judiciary
I 20	206	Interior Department
T 1	201	Treasury Department
EP 5	198	Environmental protection Agency
L 29	191	Labor Department
A 105	191	Agriculture
A 92	189	Agriculture
PR 40	189	President of the United States
C 41	188	Commerce Department
S 18	179	State Department
L 16	175	Labor Department
LC 19	175	Library of Congress
FW 4	174	
C 31	174	Commerce Department
C 51	174	Commerce Department
A 98	168	Agriculture
D 208	167	Defense Department
PE 1	163	Peace Corps
HE 5	160	Health and Human Services Department
FS 3	158	
A 36	158	Agriculture
IC 1	158	Interstate Commerce Commission
A 10	157	Agriculture
FS 14	156	
NF 3	152	National Foundation on the Arts and the Humanities
SSA 1	151	Social Security Administration
C 42	149	Commerce Department
A 67	149	Agriculture
C 21	148	Commerce Department
TD 3	145	Transportation Department
A 101	138	Agriculture
I 16	135	Interior Department
FS 13	130	
LC 3	128	Library of Congress
GS 1	128	General Services Administration
NF 2	127	National Foundation on the Arts and the Humanities
J 24	127	Justice Department
I 72	124	Interior Department
AA 1	124	
LC 30	124	Library of Congress
A 9	123	Agriculture
D 7	123	Defense Department
C 59	123	Commerce Department
HE 17	122	Health and Human Services Department
PR 42	120	President of the United States
C 47	120	Commerce Department
W 1	118	
C 39	118	Commerce Department
EP 6	117	Environmental protection Agency
C 60	116	Commerce Department
D 305	111	Defense Department
A 5	110	Agriculture
GP 3	107	Government Printing Office
D 2	106	Defense Department
E 2	105	Energy Department
T 70	104	Treasury Department
J 21	104	Justice Department
PR 36	104	President of the United States
EP 4	103	Environmental protection Agency
A 56	100	Agriculture
D 217	99	Defense Department
JU 10	99	Judiciary
FE 1	97	
D 210	95	Defense Department
D 209	93	Defense Department
A 82	91	Agriculture
A 19	90	Agriculture
FS 17	88	
Y 7	87	Congress
T 63	86	Treasury Department
PR 39	85	President of the United States
EP 7	84	Environmental protection Agency
L 5	81	Labor Department
PREX 14	78	Executive Office of the President
PR 37	78	President of the United States
PREX 26	77	Executive Office of the President
SI 8	77	Smithsonian Institution
SE 1	75	Securities and Exchange Commission
PRVP 42	73	Vice President of the United States
MS 1	72	Merit Systems Protection Board
A 106	72	Agriculture
CC 1	72	Federal Communications Commission
D 105	69	Defense Department
A 110	69	Agriculture
CSA 1	69	
I 70	69	Interior Department
D 104	67	Defense Department
I 33	66	Interior Department
NMB 1	65	National Mediation Board
D 12	64	Defense Department
LR 1	63	National Labor Relations Board
HS 5	62	Homeland Security
AC 1	60	
A 62	58	Agriculture
J 16	58	Justice Department
SI 6	58	Smithsonian Institution
C 6	57	Commerce Department
D 211	57	Defense Department
D 110	56	Defense Department
GP 1	56	Government Printing Office
FP 1	56	
C 52	55	Commerce Department
L 7	55	Labor Department
GS 2	55	General Services Administration
NCU 1	55	National Credit Union Administration
D 14	55	Defense Department
I 69	54	Interior Department
C 40	52	Commerce Department
I 66	52	Interior Department
PREX 10	48	Executive Office of the President
J 34	47	Justice Department
TD 11	47	Transportation Department
HE 24	46	Health and Human Services Department
TD 10	46	Transportation Department
IA 1	45	
PREX 23	44	Executive Office of the President
PR 41	44	President of the United States
SI 2	44	Smithsonian Institution
LC 26	44	Library of Congress
A 68	43	Agriculture
C 37	43	Commerce Department
E 4	42	Energy Department
D 15	41	Defense Department
T 12	41	Treasury Department
E 6	40	Energy Department
S 5	39	State Department
I 67	38	Interior Department
LC 39	38	Library of Congress
A 7	37	Agriculture
A 21	37	Agriculture
A 43	37	Agriculture
PREX 8	36	Executive Office of the President
PR 43	35	President of the United States
T 66	33	Treasury Department
GS 12	33	General Services Administration
D 102	33	Defense Department
HE 21	33	Health and Human Services Department
EP 3	32	Environmental protection Agency
D 221	32	Defense Department
PREX 9	32	Executive Office of the President
PR 33	32	President of the United States
PR 34	32	President of the United States
L 40	31	Labor Department
CAB 1	31	
T 27	30	Treasury Department
PR 35	30	President of the United States
PREX 22	30	Executive Office of the President
N 6	29	
GS 6	29	General Services Administration
A 112	28	Agriculture
J 25	28	Justice Department
A 107	28	Agriculture
E 5	28	Energy Department
FCA 1	28	Farm Credit Administration
D 213	27	Defense Department
A 109	27	Agriculture
RR 1	27	Railroad Retirement Board
LC 4	27	Library of Congress
A 103	26	Agriculture
W 7	26	
LC 2	26	Library of Congress
D 202	26	Defense Department
C 58	26	Commerce Department
T 28	26	Treasury Department
W 49	25	
A 94	25	Agriculture
W 109	25	
W 3	25	
PREX 7	25	Executive Office of the President
D 119	25	Defense Department
S 19	24	State Department
HE 25	24	Health and Human Services Department
LC 33	24	Library of Congress
A 104	23	Agriculture
HS 1	23	Homeland Security
L 22	23	Labor Department
A 89	23	Agriculture
SI 13	23	Smithsonian Institution
SI 11	23	Smithsonian Institution
D 203	22	Defense Department
I 71	21	Interior Department
A 84	21	Agriculture
A 47	20	Agriculture
FHL 1	20	
A 111	19	Agriculture
C 63	19	Commerce Department
D 106	19	Defense Department
NF 4	18	National Foundation on the Arts and the Humanities
NC 2	18	National Capital Planning Commission
J 23	18	Justice Department
AA 4	17	
J 36	17	Justice Department
D 10	17	Defense Department
FS 1	17	
FS 9	17	
JU 7	17	Judiciary
NA 1	17	
D 109	16	Defense Department
LC 42	16	Library of Congress
HS 8	15	Homeland Security
HH 13	15	Housing and Urban Development Department
T 47	15	Treasury Department
N 1	15	
PREX 4	15	Executive Office of the President
D 304	15	Defense Department
W 2	15	
TD 9	15	Transportation Department
MC 1	14	
A 3	14	Agriculture
W 77	14	
A 6	14	Agriculture
LC 41	14	Library of Congress
J 31	14	Justice Department
L 20	14	Labor Department
FAA 1	14	
LC 24	14	Library of Congress
JU 6	14	Judiciary
C 62	14	Commerce Department
FS 4	13	
I 24	13	Interior Department
LC 1016	13	Library of Congress
L 23	13	Labor Department
PREX 15	13	Executive Office of the President
T 34	13	Treasury Department
PR 38	13	President of the United States
PREX 17	13	Executive Office of the President
PREX 20	13	Executive Office of the President
HH 2	12	Housing and Urban Development Department
MS 2	12	Merit Systems Protection Board
EP 8	12	Environmental protection Agency
D 3	12	Defense Department
PREX 12	12	Executive Office of the President
SI 9	12	Smithsonian Institution
TD 12	12	Transportation Department
LC 40	12	Library of Congress
LC 5	12	Library of Congress
C 11	11	Commerce Department
EP 11	11	Environmental protection Agency
D 302	11	Defense Department
HS 4	11	Homeland Security
HS 7	11	Homeland Security
FMC 1	11	Federal Maritime Commission
MN 6330	10	
PR 30	10	President of the United States
A 26	10	Agriculture
FW 1	10	
LC 17	10	Library of Congress
LC 29	10	Library of Congress
C 23	9	Commerce Department
LGA 912	9	
D 205	9	Defense Department
A 27	9	Agriculture
A 80	9	Agriculture
A 108	9	Agriculture
D 216	9	Defense Department
GS 11	9	General Services Administration
