Congressional Record	1495	7277	20.54
Statistical Abstract	172	198	86.87
United States Reports	754	1498	50.33
Foreign Relations	1059	4325	24.49
Congressional Serial Set	21385	53377	40.06
Civil Rights Commission	929	2820	32.94
