Congressional Record	1792	7306	24.53
Statistical Abstract	173	199	86.93
United States Reports	757	1501	50.43
Foreign Relations	1074	4330	24.8
Congressional Serial Set	21446	53399	40.16
Civil Rights Commission	1041	2828	36.81
