Year,"University of Michigan","University of California, NRLF","Harvard University","University of Virginia","Indiana University","University of Wisconsin","Princeton University","New York Public Library","University of Minnesota","University of California, Santa Cruz","Cornell University","Library of Congress","University of Illinois, Urbana Champaign","Northwestern University","Pennsylvania State University","University of California, SRLF","Getty Research Institute, The","University of Iowa","University of California, Los Angeles","Ohio State University, The","University of Chicago","Columbia University","University of California, Berkeley","University of California, San Diego","Michigan State University","Yale University","University of Texas, The","University of California, Davis","University of California, Riverside","Duke University","University of North Carolina at Chapel Hill","University of California, Irvine","University of Connecticut","University of Michigan: Dearborn","Purdue University","University of Washington","Boston College","Universidad Complutense de Madrid","University of Maryland","North Carolina State University","University of Michigan: Law ","University of Massachusetts, Amherst","University of Delaware","University of Missouri-Columbia","University of Pennsylvania","University of Queensland, The ","Emory University"
2008-10,24364,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-10,36804,10490,8361,7746,6008,4643,2764,2499,2148,1904,1836,1774,1641,1620,1462,1241,1200,1165,727,627,606,590,486,425,290,176,154,149,115,109,71,51,39,14,5,4,3,3,2,1,1,1,1,1,1,1,1
