Year,"University of Michigan","University of California, NRLF","University of Minnesota","Cornell University","University of Illinois, Urbana Champaign","University of Wisconsin","Ohio State University, The","University of California, San Diego","Library of Congress","Pennsylvania State University","Harvard University","University of Virginia","University of California, Riverside","University of Texas, The","New York Public Library","University of California, SRLF","Indiana University","University of California, Berkeley","University of Chicago","Princeton University","Michigan State University","University of California, Santa Cruz","TRAIL/GWLA","University of California, Los Angeles","University of Massachusetts, Amherst","University of California, Davis","University of Iowa","Columbia University","North Carolina State University","Tufts University","State University System of Florida","Northwestern University","Texas AM,M","Getty Research Institute, The","University of Connecticut","Purdue University","University of California, Irvine","University of North Carolina at Chapel Hill","Columbia University","Duke University","Boston College","Yale University","University of California, Davis","University of Washington","McGill University","University of Delaware","University of Michigan: Dearborn","Utah State University Press","State University System of Florida","University of Maryland","University of Pennsylvania"
2008-10,9189,0,0,0,0,0,1719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-10,33681,28146,26794,22953,14752,9939,7781,6794,5062,4965,4576,4099,2219,1785,1697,1657,1476,1102,1009,819,779,756,671,658,593,442,387,308,293,269,211,185,149,141,111,61,47,41,34,17,16,16,13,9,4,4,2,2,1,1,1
