Year,"University of Michigan","University of California, San Diego","University of California, NRLF","Northwestern University","Pennsylvania State University","University of Virginia","Indiana University","University of Minnesota","Harvard University","University of California, Santa Cruz","University of Texas","New York Public Library","University of Illinois, Urbana Champaign","University of North Carolina at Chapel Hill","University of California, Los Angeles","University of Iowa","Ohio State University","University of California, SRLF","Cornell University","Princeton University","University of California, Berkeley","University of Wisconsin","University of California, Riverside","University of Chicago","Michigan State University","Columbia University","University of Connecticut","University of California, Davis","Duke University","University of Massachusetts, Amherst","University of California, Irvine","Getty Research Institute, The","University of Washington","Purdue University","Boston College","Columbia University","Yale University","University of Michigan, Dearborn","Library of Congress","McGill University","Emory University","Knowledge Unlatched","University of Maryland","Utah State University Press"
"2008-10",9224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-10",55032,10963,10042,4347,3956,3889,3441,3287,3062,2402,2273,1099,984,867,819,671,600,599,580,434,384,318,306,201,166,127,99,75,70,68,49,44,31,28,24,12,11,7,6,5,4,3,2,1
