Year,"University of Michigan","University of California, San Diego","University of Texas, The","Indiana University","University of Minnesota","Cornell University","University of California, Los Angeles","University of Illinois, Urbana Champaign","Pennsylvania State University","University of California, Berkeley","University of Virginia","University of California, Santa Cruz","University of California, NRLF","University of Wisconsin","Ohio State University, The","New York Public Library","University of California, Riverside","Northwestern University","Duke University","University of Michigan: Dearborn","Purdue University","Utah State University Press","TRAIL/GWLA","University of California, SRLF"
"2008-10",125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-10",1169,352,327,252,193,118,80,71,65,62,46,45,35,22,15,12,6,5,2,1,1,1,1,1 
