Congressional Record	1171	7041	16.63
Statistical Abstract	139	173	80.35
United States Reports	733	1336	54.87
Foreign Relations	849	3251	26.12
Congressional Serial Set	20800	51432	40.44
Civil Rights Commission	873	2951	29.58
Economic Report Of The President	58	262	22.14
