1	793772
2	69726
3	19472
4	13356
5	8210
6	6659
7	4957
8	3938
9	3576
10	2535
11	2415
12	2087
13	1395
14	1601
15	974
16	1054
17	1037
18	1016
19	673
20	1049
21	820
22	847
23	393
24	724
25	451
26	312
27	518
28	495
29	410
30	171
31	373
32	307
33	368
34	446
35	146
36	260
37	119
38	223
39	163
40	188
41	298
42	198
43	220
44	180
45	136
46	443
47	217
48	302
49	176
50	282
51	477
52	425
53	129
54	165
55	238
56	171
57	233
58	204
59	120
60	134
61	295
63	228
64	65
65	135
69	70
72	97
73	223
74	75
80	93
81	82
82	139
84	85
86	191
87	190
89	92
92	94
93	283
97	120
101	156
102	103
104	107
107	108
109	110
111	112
118	239
120	123
121	145
127	256
132	135
135	136
143	148
145	146
159	162
161	162
163	164
165	166
169	170
179	233
198	212
205	210
207	208
209	213
213	214
227	347
231	233
249	250
257	640
270	271
292	293
345	346
348	349
356	358
373	375
394	395
408	409
411	413
431	433
438	439
1169	1177
