Y	SuDocs	0
Y 4	Y	81763
Y 3	Y	23281
Y 1	Y	9516
Y 10	Y	558
Y 7	Y	87
Y 2	Y	3
Y 11	Y	1
Y 5	Y	2
Y 44	Y	1
Y 9	Y	3
Y 22	Y	1
Y 215	Y	1
Y 200	Y	1
Y 8	Y	1
LC	SuDocs	0
LC 35	LC	7
LC 4	LC	26
LC 1	LC	351
LC 26	LC	42
LC 12	LC	4
LC 19	LC	151
LC 30	LC	116
LC 5	LC	11
LC 42	LC	15
LC 39	LC	36
LC 24	LC	14
LC 6	LC	7
LC 40	LC	12
LC 29	LC	9
LC 25	LC	9
LC 14	LC	106
LC 33	LC	22
LC 2	LC	23
LC 3	LC	110
LC 17	LC	10
LC 43	LC	6
LC 41	LC	14
LC 23	LC	5
LC 9	LC	5
LC 1016	LC	13
C	SuDocs	0
C 13	C	4033
C 1	C	496
C 56	C	230
C 3	C	7431
C 57	C	207
C 39	C	85
C 55	C	1964
C 46	C	157
C 59	C	120
C 18	C	777
C 47	C	107
C 51	C	164
C 30	C	38
C 62	C	12
C 61	C	736
C 60	C	115
C 3261	C	2
C 58	C	13
C 4	C	75
C 31	C	59
C 21	C	112
C 41	C	104
C 37	C	22
C 50	C	2
C 42	C	67
C 40	C	7
C 25	C	5
C 5	C	7
C 43	C	4
C 53	C	1
C 28	C	1
C 14	C	4
C 134	C	1
C 52	C	24
C 7	C	2
C 63	C	14
C 10	C	3
C 22	C	1012
C 6	C	56
C 8	C	2
C 35	C	3
C 12	C	1
C 123	C	1
C 9	C	1
C 48	C	3
C 45	C	3
C 54	C	4
C 15	C	1
C 2	C	1
C 24	C	1
HE	SuDocs	0
HE 17	HE	103
HE 20	HE	6827
HE 3	HE	233
HE 21	HE	33
HE 19	HE	484
HE 1	HE	364
HE 23	HE	366
HE 22	HE	243
HE 5	HE	114
HE 8202	HE	1
HE 18	HE	6
HE 24	HE	45
HE 25	HE	24
HE 6502	HE	1
HE 81	HE	1
HE 202110	HE	1
HE 30	HE	2
PR	SuDocs	0
PR 36	PR	95
PR 37	PR	69
PR 39	PR	83
PR 32	PR	198
PR 40	PR	184
PR 38	PR	11
PR 34	PR	28
PR 35	PR	28
PR 33	PR	28
PR 41	PR	40
PR 42	PR	117
PR 31	PR	6
PR 44	PR	5
PR 43	PR	31
PR 28	PR	2
PR 3638	PR	1
PR 30	PR	10
PR 26	PR	1
PR 29	PR	1
I	SuDocs	0
I 29	I	2082
I 27	I	517
I 20	I	167
I 49	I	2794
I 1	I	1593
I 28	I	9473
I 19	I	5842
I 66	I	46
I 18	I	7
I 70	I	67
I 53	I	709
