Y 4	86986	Congress
Y 3	28137	Congress
A 13	13029	Agriculture
Y 1	10403	Congress
NAS 1	10142	National Aeronautics and Space Administration
I 28	9579	Interior Department
HE 20	8595	Health and Human Services Department
C 3	8571	Commerce Department
I 19	7575	Interior Department
D 101	7078	Defense Department
A 1	6775	Agriculture
GA 1	6301	Government Accountability Office
S 1	4845	State Department
C 13	4292	Commerce Department
EP 1	3979	Environmental protection Agency
D 301	3689	Defense Department
ED 1	3193	Education Department
I 49	2881	Interior Department
S 9	2861	State Department
L 2	2704	Labor Department
HH 10	2698	Housing and Urban Development Department
C 55	2424	Commerce Department
I 29	2187	Interior Department
FEM 1	2077	
D 103	2073	Defense Department
E 1	1948	Energy Department
I 1	1703	Interior Department
A 57	1579	Agriculture
HH 1	1368	Housing and Urban Development Department
AE 2	1278	National Archives and Records Administration
TD 2	1236	Transportation Department
PREX 3	1233	Executive Office of the President
A 17	1209	Agriculture
J 1	1066	Justice Department
FS 5	1054	
C 22	1017	Commerce Department
J 28	994	Justice Department
C 61	907	Commerce Department
GS 4	886	General Services Administration
C 18	874	Commerce Department
SI 1	873	Smithsonian Institution
TD 1	807	Transportation Department
TD 4	799	Transportation Department
L 1	787	Labor Department
I 53	775	Interior Department
ITC 1	758	International Trade Commission
A 93	692	Agriculture
D 1	658	Defense Department
TD 8	642	Transportation Department
TC 1	624	
D 5	619	Defense Department
I 27	619	Interior Department
SBA 1	611	Small Business Administration
T 22	599	Treasury Department
Y 10	597	Congress
VA 1	588	Veterans Affairs Department
TD 7	566	Transportation Department
HE 19	547	Health and Human Services Department
C 1	539	Commerce Department
J 26	530	Justice Department
TD 5	506	Transportation Department
J 32	472	Justice Department
C 56	468	Commerce Department
CR 1	465	Civil Rights Commission
PM 1	451	Personnel Management Office
FS 2	441	
HE 1	435	Health and Human Services Department
J 29	434	Justice Department
L 37	426	Labor Department
D 114	421	Defense Department
L 13	417	Labor Department
HE 23	413	Health and Human Services Department
D 207	408	Defense Department
LC 1	390	Library of Congress
D 214	358	Defense Department
NS 1	357	National Science Foundation
L 35	351	Labor Department
C 4	331	Commerce Department
SI 3	329	Smithsonian Institution
ER 1	316	
EP 2	314	Environmental protection Agency
L 38	313	Labor Department
PREX 1	311	Executive Office of the President
E 3	311	Energy Department
L 36	310	Labor Department
D 206	305	Defense Department
HE 22	295	Health and Human Services Department
A 77	293	Agriculture
AE 1	288	National Archives and Records Administration
CS 1	288	
LC 14	287	Library of Congress
D 201	286	Defense Department
HE 3	271	Health and Human Services Department
C 57	259	Commerce Department
C 30	252	Commerce Department
FT 1	250	Federal Trade Commission
PR 32	246	President of the United States
P 1	239	United States Postal Service
T 17	235	Treasury Department
C 46	232	Commerce Department
FR 1	229	Federal Reserve System Board of Governors
A 4	224	Agriculture
A 88	224	Agriculture
PREX 2	215	Executive Office of the President
I 20	214	Interior Department
C 41	212	Commerce Department
JU 13	212	Judiciary
T 1	208	Treasury Department
EP 5	205	Environmental protection Agency
A 105	202	Agriculture
A 92	196	Agriculture
L 29	194	Labor Department
PR 40	194	President of the United States
S 18	191	State Department
C 31	185	Commerce Department
LC 19	185	Library of Congress
L 16	181	Labor Department
FW 4	180	
HE 5	176	Health and Human Services Department
C 51	176	Commerce Department
A 36	174	Agriculture
A 98	170	Agriculture
FS 14	169	
D 208	168	Defense Department
PE 1	164	Peace Corps
IC 1	163	Interstate Commerce Commission
TD 3	160	Transportation Department
A 10	159	Agriculture
FS 3	159	
NF 3	158	National Foundation on the Arts and the Humanities
C 42	157	Commerce Department
SSA 1	154	Social Security Administration
I 16	152	Interior Department
C 21	151	Commerce Department
A 67	151	Agriculture
A 101	139	Agriculture
FS 13	139	
HE 17	139	Health and Human Services Department
LC 3	131	Library of Congress
GS 1	131	General Services Administration
LC 30	130	Library of Congress
C 39	130	Commerce Department
NF 2	129	National Foundation on the Arts and the Humanities
W 1	128	
I 72	127	Interior Department
J 24	127	Justice Department
A 9	125	Agriculture
AA 1	125	
D 7	124	Defense Department
E 2	123	Energy Department
PR 42	122	President of the United States
C 59	122	Commerce Department
C 47	121	Commerce Department
EP 6	120	Environmental protection Agency
D 305	116	Defense Department
C 60	116	Commerce Department
A 5	115	Agriculture
J 21	113	Justice Department
D 2	109	Defense Department
PR 36	109	President of the United States
GP 3	108	Government Printing Office
EP 4	106	Environmental protection Agency
FE 1	105	
T 70	104	Treasury Department
