1789	9
1790	12
1791	13
1792	7
1793	15
1794	7
1795	7
1796	16
1797	13
1798	12
1799	20
1800	15
1801	15
1802	18
1803	22
1804	14
1805	18
1806	21
1807	20
1808	30
1809	22
1810	26
1811	21
1812	31
1813	29
1814	37
1815	53
1816	28
1817	42
1818	25
1819	82
1820	33
1821	34
1822	31
1823	35
1824	76
1825	62
1826	44
1827	49
1828	63
1829	40
1830	118
1831	57
1832	154
1833	57
1834	228
1835	69
1836	98
1837	322
1838	96
1839	59
1840	73
1841	103
1842	77
1843	60
1844	79
1845	138
1846	103
1847	86
1848	168
1849	100
1850	233
1851	164
1852	231
1853	234
1854	314
1855	190
1856	534
1857	244
1858	280
1859	239
1860	292
1861	426
1862	378
1863	349
1864	354
1865	337
1866	397
1867	363
1868	426
1869	432
1870	431
1871	503
1872	662
1873	580
1874	559
1875	418
1876	510
1877	557
1878	473
1879	590
1880	590
1881	562
1882	671
1883	754
1884	755
1885	857
1886	1066
1887	780
1888	820
1889	895
1890	854
1891	964
1892	1378
1893	1577
1894	1838
1895	1505
1896	1389
1897	1161
1898	1355
1899	1541
1900	1937
1901	2278
1902	1901
1903	1745
1904	1733
1905	2056
1906	2493
1907	2246
1908	2227
1909	2883
1910	2584
1911	3184
1912	3001
1913	3710
1914	3106
1915	2916
1916	3663
1917	3942
1918	3780
1919	4136
1920	3425
1921	3042
1922	3888
1923	2381
1924	2367
1925	2162
1926	2322
1927	2564
1928	2401
1929	4921
1930	2810
1931	3263
1932	2817
1933	3198
1934	3514
1935	3642
1936	2913
1937	3591
1938	4060
1939	4152
1940	4455
1941	5355
1942	4154
1943	3638
1944	3704
1945	3891
1946	5102
1947	6721
1948	6177
1949	7248
1950	6050
1951	5740
1952	6287
1953	5964
1954	6355
1955	6646
1956	6923
1957	7166
1958	7474
1959	8353
1960	9420
1961	10038
1962	10301
1963	10864
1964	12108
1965	11332
1966	11486
1967	11454
1968	12332
1969	12298
1970	12529
1971	13479
1972	14710
1973	14658
1974	15928
1975	18284
1976	22386
1977	22227
1978	21798
1979	22391
1980	23583
1981	20713
1982	17817
1983	18251
1984	19426
1985	17724
1986	17402
1987	17198
1988	17548
1989	17933
1990	17933
1991	16286
1992	16927
1993	15268
1994	14129
1995	15514
1996	13951
1997	13728
1998	13236
1999	32625
2000	11996
2001	9011
2002	8929
2003	8983
2004	8198
2005	6420
2006	5999
2007	6742
2008	4503
2009	5352
2010	3422
2011	1296
2012	1117
2013	608
2014	146
2015	61
2016	9
