Google	992587
Internet Archive	17259
University of Michigan	3146
Cornell University	1890
University of Illinois at Urbana-Champaign	264
	158
Yale University	106
Northwestern University	100
University of California, Berkeley	72
Columbia University	52
Texas A&M University	18
University of Missouri, Columbia	18
The Getty Research Institute	15
Boston College	14
Emory University	9
McGill University	3
University of Washington	2
University of Delaware	1
State University System of Florida	1
University of Maryland	1
