Congressional Record	486	16382	2.97
Statistical Abstract	133	230	57.83
United States Reports	1139	2520	45.2
Foreign Relations	1006	6746	14.91
Congressional Serial Set	13855	43079	32.16
Civil Rights Commission	870	3078	28.27
Economic Report Of The President	32	159	20.13
