Y 4	80245	Congress
Y 3	21826	Congress
A 13	12658	Agriculture
NAS 1	9950	National Aeronautics and Space Administration
I 28	9389	Interior Department
Y 1	9204	Congress
C 3	7209	Commerce Department
HE 20	6675	Health and Human Services Department
D 101	6635	Defense Department
GA 1	5956	Government Accountability Office
A 1	5887	Agriculture
I 19	5610	Interior Department
S 1	4481	State Department
C 13	3937	Commerce Department
EP 1	3029	Environmental protection Agency
ED 1	2880	Education Department
I 49	2784	Interior Department
L 2	2449	Labor Department
I 29	2065	Interior Department
C 55	1907	Commerce Department
D 103	1767	Defense Department
I 1	1584	Interior Department
PREX 3	1202	Executive Office of the President
HH 1	1200	Housing and Urban Development Department
A 17	1197	Agriculture
TD 2	1027	Transportation Department
FEM 1	994	
J 1	953	Justice Department
FS 5	917	
J 28	914	Justice Department
D 301	883	Defense Department
C 22	851	Commerce Department
E 1	819	Energy Department
C 18	771	Commerce Department
ITC 1	750	International Trade Commission
C 61	731	Commerce Department
L 1	726	Labor Department
I 53	704	Interior Department
A 57	648	Agriculture
TC 1	612	
TD 4	600	Transportation Department
D 1	596	Defense Department
SBA 1	575	Small Business Administration
SI 1	573	Smithsonian Institution
Y 10	554	Congress
TD 1	550	Transportation Department
A 93	546	Agriculture
D 5	544	Defense Department
T 22	539	Treasury Department
VA 1	533	Veterans Affairs Department
I 27	508	Interior Department
C 1	492	Commerce Department
TD 7	490	Transportation Department
HE 19	464	Health and Human Services Department
J 26	459	Justice Department
TD 8	447	Transportation Department
CR 1	421	Civil Rights Commission
D 207	404	Defense Department
J 29	400	Justice Department
TD 5	400	Transportation Department
D 114	385	Defense Department
L 37	380	Labor Department
PM 1	378	Personnel Management Office
L 13	378	Labor Department
HE 23	360	Health and Human Services Department
HE 1	356	Health and Human Services Department
LC 1	344	Library of Congress
L 35	333	Labor Department
NS 1	315	National Science Foundation
D 214	300	Defense Department
SI 3	298	Smithsonian Institution
J 32	296	Justice Department
L 38	293	Labor Department
FS 2	281	
PREX 1	272	Executive Office of the President
L 36	263	Labor Department
AE 1	261	National Archives and Records Administration
D 201	244	Defense Department
HE 22	239	Health and Human Services Department
CS 1	236	
A 77	235	Agriculture
C 56	230	Commerce Department
P 1	228	United States Postal Service
HE 3	225	Health and Human Services Department
FT 1	222	Federal Trade Commission
T 17	204	Treasury Department
JU 13	204	Judiciary
ER 1	202	
A 88	202	Agriculture
C 57	202	Commerce Department
PREX 2	198	Executive Office of the President
FR 1	194	Federal Reserve System Board of Governors
GS 4	189	General Services Administration
L 29	184	Labor Department
A 92	182	Agriculture
E 3	180	Energy Department
PR 32	179	President of the United States
PR 40	179	President of the United States
EP 5	172	Environmental protection Agency
EP 2	171	Environmental protection Agency
T 1	169	Treasury Department
A 105	168	Agriculture
L 16	167	Labor Department
A 98	166	Agriculture
S 18	166	State Department
I 20	164	Interior Department
C 51	160	Commerce Department
C 46	155	Commerce Department
PE 1	154	Peace Corps
FS 14	152	
LC 19	147	Library of Congress
A 67	145	Agriculture
IC 1	143	Interstate Commerce Commission
NF 3	142	National Foundation on the Arts and the Humanities
FS 3	137	
TD 3	137	Transportation Department
SSA 1	135	Social Security Administration
A 101	133	Agriculture
NF 2	125	National Foundation on the Arts and the Humanities
D 208	123	Defense Department
GS 1	123	General Services Administration
FS 13	120	
D 7	116	Defense Department
C 59	116	Commerce Department
AA 1	115	
PR 42	115	President of the United States
C 60	114	Commerce Department
LC 30	114	Library of Congress
I 72	113	Interior Department
