Congressional Record	1935	7331	26.39
Statistical Abstract	173	199	86.93
United States Reports	757	1501	50.43
Foreign Relations	1076	4333	24.83
Congressional Serial Set	21510	53552	40.17
Civil Rights Commission	1040	2936	35.42
