1789	19
1790	15
1791	15
1792	8
1793	17
1794	9
1795	8
1796	20
1797	14
1798	15
1799	22
1800	15
1801	14
1802	22
1803	22
1804	21
1805	24
1806	28
1807	28
1808	44
1809	23
1810	46
1811	22
1812	51
1813	41
1814	53
1815	55
1816	33
1817	33
1818	28
1819	92
1820	39
1821	31
1822	43
1823	49
1824	75
1825	65
1826	56
1827	37
1828	76
1829	53
1830	132
1831	59
1832	168
1833	71
1834	259
1835	84
1836	115
1837	322
1838	95
1839	70
1840	117
1841	126
1842	86
1843	63
1844	96
1845	151
1846	124
1847	113
1848	220
1849	116
1850	260
1851	204
1852	269
1853	269
1854	357
1855	225
1856	539
1857	286
1858	307
1859	287
1860	339
1861	501
1862	454
1863	412
1864	478
1865	416
1866	475
1867	424
1868	519
1869	513
1870	526
1871	580
1872	765
1873	679
1874	701
1875	514
1876	618
1877	630
1878	562
1879	670
1880	700
1881	648
1882	800
1883	888
1884	868
1885	1010
1886	1193
1887	910
1888	1003
1889	1073
1890	1000
1891	1093
1892	1796
1893	2522
1894	3410
1895	2019
1896	1581
1897	1411
1898	1756
1899	1990
1900	2215
1901	3136
1902	2605
1903	2036
1904	2053
1905	2353
1906	2789
1907	2811
1908	2642
1909	3402
1910	3059
1911	3612
1912	3542
1913	4452
1914	3703
1915	3632
1916	4346
1917	4708
1918	4478
1919	4823
1920	4090
1921	3487
1922	4440
1923	2744
1924	2730
1925	2841
1926	2775
1927	3040
1928	3000
1929	5404
1930	3390
1931	3697
1932	3464
1933	3843
1934	4180
1935	4801
1936	3762
1937	4576
1938	4953
1939	5303
1940	5740
1941	6482
1942	5519
1943	4668
1944	4777
1945	5186
1946	5929
1947	7238
1948	6980
1949	8796
1950	7425
1951	7331
1952	8523
1953	7666
1954	8100
1955	8433
1956	8566
1957	8878
1958	9622
1959	10943
1960	12142
1961	12585
1962	12983
1963	13927
1964	15215
1965	14814
1966	14811
1967	14630
1968	15734
1969	15813
1970	16111
1971	17580
1972	19539
1973	19574
1974	20512
1975	23383
1976	28335
1977	28607
1978	28513
1979	28603
1980	29380
1981	27363
1982	22053
1983	22744
1984	23878
1985	21967
1986	21871
1987	21067
1988	20973
1989	21959
1990	22226
1991	19954
1992	20485
1993	19119
1994	17728
1995	19176
1996	17369
1997	16880
1998	16404
1999	27006
2000	14110
2001	10706
2002	10621
2003	10391
2004	9652
2005	7379
2006	6826
2007	6947
2008	5493
2009	6336
2010	4392
2011	2726
2012	2016
2013	1487
2014	877
2015	317
2016	220
