Y 4	86820	Congress
Y 3	30196	Congress
A 13	13042	Agriculture
Y 1	10468	Congress
NAS 1	10141	National Aeronautics and Space Administration
I 28	9743	Interior Department
C 3	8888	Commerce Department
HE 20	8409	Health and Human Services Department
I 19	7779	Interior Department
D 101	7240	Defense Department
A 1	6732	Agriculture
GA 1	6295	Government Accountability Office
D 301	5987	Defense Department
S 1	4836	State Department
C 13	4394	Commerce Department
EP 1	4090	Environmental protection Agency
ED 1	3121	Education Department
I 49	2934	Interior Department
S 9	2874	State Department
HH 10	2697	Housing and Urban Development Department
L 2	2684	Labor Department
C 55	2409	Commerce Department
E 1	2212	Energy Department
D 103	2198	Defense Department
I 29	2148	Interior Department
FEM 1	2073	
I 1	1704	Interior Department
A 57	1572	Agriculture
HH 1	1314	Housing and Urban Development Department
AE 2	1285	National Archives and Records Administration
TD 2	1224	Transportation Department
A 17	1203	Agriculture
PREX 3	1195	Executive Office of the President
FS 5	1049	
J 1	1047	Justice Department
C 22	1018	Commerce Department
J 28	996	Justice Department
GS 4	904	General Services Administration
C 61	893	Commerce Department
SI 1	884	Smithsonian Institution
C 18	876	Commerce Department
TD 1	807	Transportation Department
TD 4	794	Transportation Department
L 1	775	Labor Department
I 53	768	Interior Department
ITC 1	758	International Trade Commission
A 93	699	Agriculture
D 1	692	Defense Department
TD 8	643	Transportation Department
D 5	634	Defense Department
I 27	625	Interior Department
TC 1	623	
T 22	609	Treasury Department
SBA 1	602	Small Business Administration
VA 1	590	Veterans Affairs Department
Y 10	586	Congress
TD 7	563	Transportation Department
HE 19	532	Health and Human Services Department
C 1	527	Commerce Department
TD 5	508	Transportation Department
J 26	502	Justice Department
FS 2	473	
C 56	470	Commerce Department
J 32	469	Justice Department
PM 1	445	Personnel Management Office
J 29	444	Justice Department
CR 1	436	Civil Rights Commission
A 77	427	Agriculture
D 114	423	Defense Department
L 13	419	Labor Department
HE 1	418	Health and Human Services Department
L 37	413	Labor Department
D 207	407	Defense Department
ER 1	396	
HE 23	394	Health and Human Services Department
LC 1	392	Library of Congress
D 214	379	Defense Department
A 56	378	Agriculture
C 4	363	Commerce Department
NS 1	362	National Science Foundation
L 35	345	Labor Department
SI 3	334	Smithsonian Institution
EP 2	317	Environmental protection Agency
L 36	310	Labor Department
L 38	309	Labor Department
E 3	309	Energy Department
D 206	307	Defense Department
D 201	305	Defense Department
CS 1	301	
PREX 1	297	Executive Office of the President
HE 22	290	Health and Human Services Department
LC 14	287	Library of Congress
AE 1	278	National Archives and Records Administration
HE 3	266	Health and Human Services Department
C 30	265	Commerce Department
C 41	259	Commerce Department
PR 32	257	President of the United States
C 57	246	Commerce Department
FT 1	238	Federal Trade Commission
P 1	236	United States Postal Service
FR 1	233	Federal Reserve System Board of Governors
T 17	233	Treasury Department
C 46	230	Commerce Department
A 88	229	Agriculture
I 20	225	Interior Department
A 4	223	Agriculture
JU 13	214	Judiciary
PREX 2	211	Executive Office of the President
T 1	206	Treasury Department
EP 5	201	Environmental protection Agency
D 210	201	Defense Department
A 92	196	Agriculture
A 105	194	Agriculture
C 31	191	Commerce Department
L 29	191	Labor Department
PR 40	188	President of the United States
A 36	187	Agriculture
S 18	187	State Department
L 16	181	Labor Department
FW 4	181	
LC 19	181	Library of Congress
D 208	179	Defense Department
HE 5	177	Health and Human Services Department
C 51	176	Commerce Department
IC 1	171	Interstate Commerce Commission
FS 14	170	
A 98	166	Agriculture
PE 1	164	Peace Corps
TD 3	160	Transportation Department
NF 3	159	National Foundation on the Arts and the Humanities
FS 3	159	
A 10	158	Agriculture
C 42	158	Commerce Department
SSA 1	156	Social Security Administration
I 16	156	Interior Department
C 21	153	Commerce Department
A 67	149	Agriculture
HE 17	145	Health and Human Services Department
FS 13	141	
A 101	139	Agriculture
A 9	131	Agriculture
LC 3	131	Library of Congress
W 1	131	
LC 30	130	Library of Congress
C 39	129	Commerce Department
GS 1	128	General Services Administration
I 72	127	Interior Department
E 2	127	Energy Department
J 24	127	Justice Department
D 217	126	Defense Department
AA 1	125	
NF 2	124	National Foundation on the Arts and the Humanities
EP 6	121	Environmental protection Agency
PR 42	120	President of the United States
D 7	120	Defense Department
J 21	117	Justice Department
C 60	117	Commerce Department
C 47	116	Commerce Department
C 59	115	Commerce Department
D 305	114	Defense Department
