1789	37
1790	13
1791	14
1792	7
1793	16
1794	8
1795	7
1796	20
1797	13
1798	14
1799	22
1800	14
1801	13
1802	21
1803	21
1804	20
1805	24
1806	27
1807	27
1808	44
1809	22
1810	45
1811	21
1812	50
1813	40
1814	48
1815	54
1816	32
1817	32
1818	27
1819	92
1820	38
1821	30
1822	42
1823	48
1824	111
1825	64
1826	55
1827	37
1828	74
1829	50
1830	132
1831	60
1832	68
1833	67
1834	214
1835	83
1836	115
1837	328
1838	95
1839	69
1840	100
1841	111
1842	85
1843	63
1844	95
1845	151
1846	124
1847	112
1848	220
1849	115
1850	270
1851	192
1852	284
1853	273
1854	384
1855	230
1856	546
1857	281
1858	301
1859	290
1860	330
1861	602
1862	465
1863	415
1864	483
1865	433
1866	472
1867	407
1868	512
1869	451
1870	514
1871	585
1872	771
1873	678
1874	691
1875	494
1876	606
1877	633
1878	561
1879	680
1880	702
1881	641
1882	803
1883	894
1884	867
1885	1011
1886	1196
1887	913
1888	1005
1889	1073
1890	1013
1891	1097
1892	1802
1893	2531
1894	3414
1895	2019
1896	1586
1897	1434
1898	1767
1899	2002
1900	2219
1901	3217
1902	2634
1903	2069
1904	2070
1905	2370
1906	2802
1907	2821
1908	2659
1909	3410
1910	3079
1911	3636
1912	3576
1913	4468
1914	3748
1915	3669
1916	4381
1917	4736
1918	4504
1919	4844
1920	4121
1921	3519
1922	4483
1923	2783
1924	2836
1925	2890
1926	2806
1927	3060
1928	3044
1929	5479
1930	3426
1931	3726
1932	3484
1933	3862
1934	4192
1935	4844
1936	3805
1937	4631
1938	4958
1939	5293
1940	5818
1941	6582
1942	5588
1943	4715
1944	4859
1945	5271
1946	6023
1947	7353
1948	6594
1949	8920
1950	7529
1951	7431
1952	8685
1953	7899
1954	8321
1955	8672
1956	8828
1957	9226
1958	9937
1959	11115
1960	12448
1961	12821
1962	13261
1963	14141
1964	15403
1965	15062
1966	15104
1967	14838
1968	16067
1969	16167
1970	16482
1971	17784
1972	19742
1973	19775
1974	20644
1975	23559
1976	28682
1977	28867
1978	28702
1979	29011
1980	29546
1981	27583
1982	22158
1983	22753
1984	24184
1985	22113
1986	21951
1987	21143
1988	21086
1989	22228
1990	22405
1991	20045
1992	20569
1993	19222
1994	17996
1995	19280
1996	17451
1997	16962
1998	16482
1999	27095
2000	14243
2001	10750
2002	10695
2003	10474
2004	9703
2005	7415
2006	6842
2007	6961
2008	5504
2009	6357
2010	4401
2011	2738
2012	2033
2013	1519
2014	878
2015	330
2016	236
