	74629
OFFICE OF ENVIRONMENTAL ENGINEERING AND TECHNOLOGY OFFICE OF RESEARCH AND DEVELOPMENT UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	3
BOBBS-MERRILL COMPANY	3
UNITED STATES DEPARTMENT OF AGRICULTURE BUREAU OF BIOLOGICAL SURVEY	3
AGRICULTURAL RESEARCH SERVICE UNITED STATES DEPARTMENT OF AGRICULTURE IN COOPERATION WITH SOUTH CAROLINA AGRICULTURAL EXPERIMENT STATION	3
NATIONAL ARCHIVES TRUST FUND BOARD NATIONAL ARCHIVES AND RECORDS ADMINISTRATION	3
PRINTED BY FP BLAIR	3
UNITED STATES DEPARTMENT OF STATE RECRUITMENT DIVISION	3
DEPARTMENT OF ENERGY OFFICE OF ENERGY TECHNOLOGY OFFICE OF NUCLEAR WASTE MANAGEMENT	3
OFFICE ON SMOKING AND HEALTH PUBLIC HEALTH SERVICE UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES	3
AMERICORPS	3
UNITED STATES ATOMIC ENERGY COMMISSION NEW YORK OPERATIONS OFFICE	3
BIBLIOTHèQUE NATIONALE OFFICE GéNéRAL DU LIVRE	3
OFFICE OF PUBLICATIONS NATIONAL PARK SERVICE	3
SECRETARIADO TÉCNICO DE LA PRESIDENCIA OFICINA NACIONAL DEL PRESUPUESTO	3
新华书店上海发行所发行	3
DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE NATIONAL INSTITUTES OF HEALTH NATIONAL INSTITUTE ON DRUG ABUSE	3
UNITED STATES COMMISSION ON OCEAN POLICY	3
USAFI	3
HHS EVALUATION DOCUMENTATION CENTER OFFICE OF ASSISTANT SECRETARY FOR PLANNING AND EVALUATION UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES	3
TECHNICAL INFORMATION SYSTEMS SCIENCE AND EDUCATION ADMINISTRATION UNITED STATES DEPARTMENT OF AGRICULTURE	3
WESTINGHOUSE COMMITTEE ON ELECTRIC CORPORATION ATOMIC POWER DIVISION	3
UNITED STATES ATOMIC ENERGY COMMISSION DIVISION OF BIOLOGY AND MEDICINE	3
AUSTRALIAN BUREAU OF STATISTICS	3
DIVISION OF REACTOR DEVELOPMENT AND TECHNOLOGY UNITED STATES ATOMIC ENERGY COMMISSION	3
UNITED STATES MARINE MAMMAL COMMISSION	3
STATISTICAL POLICY AND RESEARCH SERVICE OFFICE OF INFORMATION MANAGEMENT AND STATISTICS VETERANS ADMINISTRATION	3
R M SMITH PUBLIC PRINTER	3
SOUTHERN RURAL DEVELOPMENT CENTER	3
PUBLISHED FOR UNITED STATES DEPARTMENT OF AGRICULTURE AND UNITED STATES NATIONAL SCIENCE FOUNDATION BY FOREIGN SCIENTIFIC PUBLICATIONS DEPARTMENT OF POLISH NATIONAL CENTER FOR SCIENTIFIC TECHNICAL AND ECONOMIC INFORMATION	3
MINISTèRE DE LéDUCATION	3
R ARMSTRONG PRINTER	3
KRAUS	3
PUBLICATIONS DISTRIBUTION ROCKY MOUNTAIN RESEARCH STATION DISTRIBUTOR	3
FOREST SUPERVISOR	3
OCÉANO	3
HEYDAY BOOKS	3
KODANSHA INTERNATIONAL	3
יד ושם	3
EUROPEAN CONFERENCE OF MINISTERS OF TRANSPORT	3
NORTHEAST CULTURAL RESOURCES CENTER NORTHEAST REGION NATIONAL PARK SERVICE UNITED STATES DEPARTMENT OF INTERIOR	3
ROYAL SOCIETY OF CHEMISTRY INFORMATION SERVICES	3
URBAN MASS TRANSPORTATION ADMINISTRATION UNITED STATES DEPARTMENT OF TRANSPORTATION	3
武汉大学出版社	3
PRESIDENT COMMITTEE ON MENTAL RETARDATION UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES OFFICE OF HUMAN DEVELOPMENT SERVICES	3
RAPTOR INFORMATION CENTER NATIONAL WILDLIFE FEDERATION	3
NORTH CAROLINA HISTORICAL RECORDS SURVEY	3
LIBRARY OF CONGRESS MUSIC DIVISION	3
UNITED STATES ENVIRONMENTAL SCIENCE SERVICES ADMINISTRATION	3
ENVIRONMENTAL RESPONSE TEAM EMERGENCY RESPONSE DIVISION OFFICE OF EMERGENCY AND REMEDIAL RESPONSE UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	3
PRINTED BY WILLIAM A DAVIS	3
PRINTED BY ROGER C WEIGHTMAN	3
UNITED STATES DEPARTMENT OF AGRICULTURE BUREAU OF ENTOMOLOGY AND PLANT QUARANTINE	3
CENTERS FOR MEDICARE AND MEDICAID SERVICES	3
OFFICE OF GOVERNMENT REPORTS	3
UNITED STATES DEPARTMENT OF COMMERCE ECONOMICS AND STATISTICS ADMINISTRARION BUREAU OF CENSUS	3
INTERNAL REVENUE SERVICE COMPLIANCE RESEARCH	3
NATIONAL OCCUPATIONAL INFORMATION COORDINATING COMMITTEE	3
TREASURY DEPARTMENT PUBLIC HEALTH AND MARINE-HOSPITAL SERVICE OF UNITED STATES	3
DIVISION?	3
UNITED STATES FIRE ADMINISTRATION	3
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE HEALTH CARE FINANCING ADMINISTRATION HEALTH STANDARDS AND QUALITY BUREAU	3
DEPARTMENT OF MINES AND TECHNICAL SURVEYS	3
BOOKS AND OPEN-FILE REPORTS SECTION UNITED STATES GEOLOGICAL SURVEY DISTRIBUTOR	3
UNITED STATES GEOLOGICAL SURVEY MAP DISTRIBUTION	3
CHARTA	3
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY REGION IX	3
NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES	3
NORTH CAROLINA STATE UNIVERSITY	3
DEPARTMENT OF AGRICULTURE FEDERAL GRAIN INSPECTION SERVICE	3
UNITED STATES ARMY ENGINEER DIVISION NEW ENGLAND CORPS OF ENGINEERS	3
PACIFIC MISSILE TEST CENTER	3
WENDELL AND VAN BENTHUYSEN	3
UNITED STATES DEPARTMENT OF EDUCATION OFFICE OF ELEMENTARY AND SECONDARY EDUCATION COMPENSATORY EDUCATION PROGRAMS	3
NAVAL EDUCATION AND TRAINING SUPPORT COMMAND	3
AMERICAN INSTITUTE OF STEEL CONSTRUCTION	3
OGDEN AIR LOGISTICS CENTER	3
DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE HEALTH RESOURCES ADMINISTRATION BUREAU OF HEALTH PLANNING	3
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES SOCIAL SECURITY ADMINISTRATION OFFICE OF SYSTEMS	3
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE CENTER FOR DISEASE CONTROL NATIONAL INSTITUTE FOR OCCUPATIONAL SAFETY AND HEALTH APPALACHIAN LABORATORY FOR OCCUPATIONAL SAFETY AND HEALTH	3
BUREAU OF POWER FEDERAL POWER COMMISSION	3
UNITED STATES DIVISION OF WATER SUPPLY AND POLLUTION CONTROL	3
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE OFFICE OF INTERNATIONAL HEALTH DIVISION OF PROGRAM ANALYSIS	3
JPRS	3
CIVIL AERONAUTICS ADMINISTRATION	3
TENNESSEE VALLEY AUTHORITY DIVISION OF WATER CONTROL PLANNING	3
UNITED STATES DEPARTMENT OF COMMERCE NATIONAL FISH AND SEAFOOD PROMOTIONAL COUNCIL	3
DEPARTMENT OF COMMERCE DOMESTIC AND INTERNATIONAL BUSINESS ADMINISTRATION BUREAU OF DOMESTIC COMMERCE	3
OFFICE OF MANAGEMENT AND BUDGET OFFICE OF FEDERAL PROCUREMENT POLICY	3
VISTA	3
BUREAU OF YARDS AND DOCKS NAVY DEPARTMENT	3
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY OFFICE OF RESEARCH AND DEVELOPMENT NATIONAL RISK MANAGEMENT RESEARCH LABORATORY	3
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFFICE OF EDUCATION INSTITUTE OF INTERNATIONAL STUDIES	3
NATIONAL INSTITUTE OF MENTAL HEALTH CENTER FOR STUDIES OF CHILD AND FAMILY MENTAL HEALTH	3
NATIONAL DIET LIBRARY	3
DEPARTMENT OF ENERGY OFFICE OF ASSISTANT SECRETARY FOR ENVIRONMENT	3
CLEARINGHOUSE COMMITTEE ON FOR STATE AND LOCAL INITIATIVES ON PRODUCTIVITY TECHNOLOGY AND INNOVATION TECHNOLOGY ADMINISTRATION UNITED STATES DEPARTMENT OF COMMERCE	3
OFFICE OF COAL RESEARCH UNITED STATES DEPARTMENT OF INTERIOR	3
UNITED STATES NATIONAL AERONAUTICS AND SPACE ADMINISTRATION LYNDON B JOHNSON SPACE CENTER	3
ARGONNE NATIONAL LABORATORY ENERGY AND ENVIRONMENTAL SYSTEMS DIVISION	3
EUROPEAN SPACE AGENCY	3
OFFICE OF JUDGE ADVOCATE GENERAL DEPARTMENT OF ARMY	3
AUSTRALIAN GOVERNMENT PUB SERVICE DISTRIBUTOR	3
AGRICULTURAL RESEARCH SERVICE UNITED STATES DEPARTMENT OF AGRICULTURE SOUTHERN REGION	3
DEPARTMENT OF COMMERCE ECONOMICS AND STATISTICS ADMINISTRATION BUREAU OF CENSUS	3
OFFICE OF WATER UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	3
CHESAPEAKE BAY PROGRAM	3
WB SAUNDERS COMPANY	3
DEPARTMENT OF NAVY NAVAL RESEARCH LABORATORY	3
NATIONAL PETROLEUM COUNCIL	3
USGOVERNMENT PRINTOFF	3
DEPARTMENT OF AIR FORCE AIR RESEARCH AND DEVELOPMENT COMMAND	3
NOVELLO	3
UNITED STATES DEPARTMENT OF AGRICULTURE BUREAU OF ENTOMOLOGY AND PLANT QUARANTINE DIVISION OF INSECTICIDE INVESTIGATIONS	3
OFFICE OF WAR MOBILIZATION AND RECONVERSION	3
BALLISTIC RESEARCH LABORATORIES	3
GOP	3
LOVELACE FOUNDATION FOR MEDICAL EDUCATION AND RESEARCH	3
ARMY MEDICAL MUSEUM	3
INDIAN HEAD DIVISION NAVAL SURFACE WARFARE CENTER	3
C ALEXANDER	3
DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE NATIONAL INSTITUTES OF HEALTH NATIONAL CANCER INSTITUTE	3
COLORADO WATER RESOURCES RESEARCH INSTITUTE	3
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY OFFICE OF RESEARCH AND DEVELOPMENT ENVIRONMENTAL MONITORING AND SUPPORT LABORATORY MONITORING SYSTEMS RESEARCH AND DEVELOPMENT DIVISION	3
CENTER FOR ENVIRONMENTAL RESEARCH INFORMATION UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	3
OFFICE OF EMERGENCY AND REMEDIAL RESPONSE OFFICE OF SOLID WASTE AND EMERGENCY RESPONSE UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	3
UNITED STATES DEPARTMENT OF TRANSPORTATION NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION NATIONAL CENTER FOR STATISTICS AND ANALYSIS	3
DEPARTMENT OF ENERGY OFFICE OF CONSERVATION AND SOLAR APPLICATIONS DIVISION OF TRANSPORTATION ENERGY CONSERVATION	3
OFFICE OF SCIENCE AND TECHNOLOGY POLICY	3
NATIONAL VOLUNTEER AGENCY ACTION	3
OFFICE OF HISTORY SAN ANTONIO AIR LOGISTICS CENTER AIR FORCE LOGISTICS COMMAND	3
AVAILABLE FROM SOLID WASTE MANAGEMENT INFORMATION MATERIALS DISTRIBUTION	3
OFFICE OF MONITORING AND TECHNICAL SUPPORT OFFICE OF RESEARCH AND DEVELOPMENT UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	3
ENVRIONMENTAL PROTECTION AGENCY OFFICE OF RESEARCH AND DEVELOPMENT INDUSTRIAL ENVIRONMENTAL RESEARCH LABORATORY	3
ENVIRONMENTAL RESEARCH LABORATORY OFFICE OF RESEARCH AND DEVELOPMENT ENVIRONMENTAL PROTECTION AGENCY	3
ROBERT S KERR ENVIRONMENTAL RESEARCH LABORATORY	3
INSTITUTO RIO BRANCO	3
EDITORIAL JUS	3
INSTITUTO DE CULTURA PUERTORRIQUEñA	3
MINISTRY OF ECONOMY AND FINANCE OFFICE OF PUBLIC RELATIONS	3
IZD-VO POLIT LIT-RY	3
UNIVERSITY OF NOTRE DAME	3
NEW MEXICO STATE UNIVERSITY	3
MISSION	3
UNITED STATES DEPARTMENT OF COMMERCE BUREAU OF FOREIGN COMMERCE TRADE MISSIONS DIVISION	3
UNIVERSITY OF WISCONSIN LAND TENURE CENTER	3
EDITORIAL ELITE	3
EDITORIAL LOSADA	3
ENVIRONMENTAL PROTECTION AGENCY OFFICE OF ANALYSIS AND EVALUATION	3
DEPARTAMENTO DE ORIENTACIÓN REVOLUCIONARIA DEL COMITÉ CENTRAL DEL PARTIDO COMUNISTA DE CUBA	3
UNIDO	3
內政部	3
NEI ZHENG BU	3
UNITED STATES DEPARTMENT OF COMMERCE OFFICE OF TECHNICAL SERVICES AREA DEVELOPMENT DIVISION	3
AMERICAN NUMISMATIC SOCIETY	3
CENTRAL INTELLIGENCE AGENCY NATIONAL FOREIGN ASSESSMENT CENTER AVAILABLE FROM DOCEX PROJECT LIBRARY OF CONGRESS	3
UNIVERSITY OF CALIFORNIA INSTITUTE OF ENGINEERING RESEARCH WAVES RESEARCH LABORATORY	3
IPEA/INPES	3
UNITED STATES DEPARTMENT OF COMMERCE NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION ENVIRONMENTAL RESEARCH LABORATORIES FORECAST SYSTEMS LABORATORY	3
JOHN LANE COMPANY	3
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE SOCIAL AND REHABILITATION SERVICE OFFICE OF INFORMATION SCIENCES NATIONAL CENTER FOR SOCIAL STATISTICS	3
UNITED STATES DEPARTMENT OF JUSTICE OFFICE OF JUSTICE ASSISTANCE RESEARCH AND STATISTICS	3
FEDERAL DEPARTMENT OF TRANSPORT FEDERAL OFFICE OF ROAD SAFETY	3
NATIONAL ADVISORY COMMISSION ON CRIMINAL JUSTICE STANDARDS AND GOALS	3
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY RISK REDUCTION ENGINEERING LABORATORY OFFICE OF RESEARCH AND DEVELOPMENT	3
ADVISORY BOARD ON QUARTERMASTER RESEARCH AND DEVELOPMENT COMMITTEE ON ENVIRONMENTAL PROTECTION NATIONAL ACADEMY OF SCIENCES NATIONAL RESEARCH COUNCIL	3
UNITED STATES COAST GUARD DIRECT COMMISSION PROGRAM	3
MICHIGAN OFFICE OF AUDITOR GENERAL	3
UNITED STATES DEPARTMENT OF STATE OFFICE OF HISTORIAN BUREAU OF PUBLIC AFFAIRS	3
OFFICE OF ASSISTANT COMMISSIONER TAXPAYER SERVICE AND RETURNS PROCESSING DEPARTMENT OF TREASURY INTERNAL REVENUE SERVICE	3
WORKS PROGRESS ADMINISTRATION DIVISION OF SOCIAL RESEARCH	3
O INSTITUTO	3
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY OFFICE OF EMERGENCY AND REMEDIAL RESPONSE HAZARDOUS SITE CONTROL DIVISION	3
COMMITTEE ON TIDAL HYDRAULICS	3
UNITED STATES CIVIL SERVICE COMMISSION BUREAU OF PERSONNEL MANAGEMENT INFORMATION SYSTEMS	3
ECONOMIC AND STATISTICAL ANALYSIS DIVISION ECONOMIC RESEARCH SERVICE UNITED STATES DEPARTMENT OF AGRICULTURE	3
ACTION OFFICE OF POLICY RESEARCH AND EVALUATION PROGRAM ANALYSIS AND EVALUATION DIVISION	3
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION NATIONAL INSTITUTE OF MENTAL HEALTH CENTER FOR STUDIES OF CRIME AND DELINQUENCY	3
ADMINSTRATION	3
FEDERAL HIGHWAY ADMINISTRATION OFFICE OF RESEARCH TRAFFIC SYSTEMS DIVISION	3
NATIONAL CAPITAL PRESS	3
ESCUELA DE ESTUDIOS HISPANO-AMERICANOS	3
WOMEN EDUCATIONAL EQUITY ACT PROGRAM UNITED STATES DEPARTMENT OF EDUCATION	3
LEGISLATIVE RESEARCH COMMISSION	3
AGRICULTURAL EXPERIMENT STATION UNIVERSITY OF MINNESOTA	3
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY OFFICE OF SOLID WASTE MANAGEMENT PROGRAMS HAZARDOUS WASTE MANAGEMENT DIVISION	3
AKASHIC	3
EMECÉ EDITORES SA	3
AMERICAN UNIVERSITIES FIELD STAFF	3
INSTITUTO NACIONAL DE ANTROPOLOGíA E HISTORIA	3
EDITORIAL ARTE Y LITERATURA	3
INSTITUTE OF DOCUMENTATION IN ISRAEL	3
OFFICE OF INTERNATIONAL ACTIVITIES	3
UNIÓN DE ESCRITORES Y ARTISTAS DE CUBA	3
OFICINA CENTRAL DE INFORMACIÓN	3
INSTITUTO DE INVESTIGACIONES SOCIALES	3
INSTITUTO CARO Y CUERVO	3
COUNCIL OF PLANNING LIBRARIANS	3
FEDERAL HIGHWAY ADMINISTRATION OFFICE OF RESEARCH MATERIALS DIVISION	3
LOM EDICIONES	3
ANNABLUME	3
OBJETIVA	3
BOITEMPO EDITORIAL	3
CORTEZ	3
EDICIONES UNIóN	3
UNICEF	3
INSTITUTO MORA	3
EDITORIAL LA COLMENA	3
EDIPUCRS	3
CENTER FOR STRATEGIC AND INTERNATIONAL STUDIES	3
GENERAL SECRETARIAT ORGANIZATION OF AMERICAN STATES	3
UNIVERSITY OF NEVADA PRESS	3
UNITED STATES NATIONAL CENTER FOR AIR POLLUTION CONTROL	3
MINISTERIO DE CULTURA	3
UNITED STATES DEPARTMENT OF LABOR BUREAU OF LABOR STATISTICS SOUTHERN REGIONAL OFFICE	3
BUREAU OF INTERNATIONAL COMMERCE UNITED STATES DEPARTMENT OF COMMERCE	3
EDITORIAL DE CIENCIAS SOCIALES INSTITUTO CUBANO DEL LIBRO	3
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE HEALTH RESOURCES ADMINISTRATION BUREAU OF HEALTH PROFESSIONS	3
WHITE SANDS MISSILE RANGE	3
NATIONAL TELECOMMUNICATIONS AND INFORMATION ADMINISTRATION	3
EDITORIAL CUARTO PROPIO	3
ARTE PúBLICO PRESS	3
PLAZA Y VALDÉS	3
EDICIONES CORREGIDOR	3
MIGUEL ANGEL PORRÚA	3
INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS	3
COLEGIO DE MICHOACÁN	3
ISRAEL PROGRAM FOR SCIENTIFIC TRANSLATION AVAILABLE FROM UNITED STATES DEPARTMENT OF COMMERCE CLEARINGHOUSE COMMITTEE ON FOR FEDERAL SCIENTIFIC AND TECHNICAL INFORMATION SPRINGFIELD VA	3
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE BUREAU OF STATE SERVICES DIVISION OF SANITARY ENGINEERING SERVICES ROBERT A TAFT SANITARY ENGINEERING CENTER	3
TRANSPORT RESEARCH LABORATORY OVERSEAS CENTRE	3
NATIONAL COAL ASSOCIATION	3
WATERWAYS EXPERIMENT STATION CORPS OF ENGINEERS UNITED STATES ARMY	3
DISTRIBUTED BY UNIVERSITY OF NORTH CAROLINA PRESS	3
ZONE BOOKS	3
UNITED STATES DEPARTMENT OF STATE FOREIGN SERVICE INSTITUTE CENTER FOR STUDY OF FOREIGN AFFAIRS	3
UNITED STATES BUSINESS AND DEFENSE SERVICES ADMINISTRATION	3
JULIAN SAMORA RESEARCH INSTITUTE MICHIGAN STATE UNIVERSITY	3
DEPARTMENT OF TRANSPORTATION FEDERAL AVIATION ADMINISTRATION OFFICE OF ENVIRONMENT AND ENERGY	3
DEPARTMENT OF COMMERCE NATIONAL FIRE PREVENTION AND CONTROL ADMINISTRATION NATIONAL FIRE SAFETY AND RESEARCH OFFICE	3
VOLUNTEERS IN SERVICE TO AMERICA	3
UNITED STATES ARMY ENGINEER CENTER AND FORT BELVOIR	3
NATIONAL ARCHIVES TRUST FUND BOARD	3
CENTER FOR URBAN POLICY AND ENVIRONMENT INDIANA UNIVERSITY	3
DENVER SERVICE CENTER NATIONAL PARK SERVICE	3
UNITED STATES GENERAL SERVICES ADMINISTRATION FEDERAL SUPPLY AND SERVICES	3
FLORIDA MARINE RESEARCH INSTITUTE	3
MICHIGAN STATE UNIVERSITY	3
UNITED STATES DEPARTMENT OF INTERIOR UNITED STATES GEOLOGICAL SURVEY DENVER CO	3
WASHINGTON DC NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION SPRINGFIELD VA NATIONAL TECHNICAL INFORMATION SERVICE	3
UNITED STATES DEPARTMENT OF AGRICULTURE PACKERS AND STOCKYARDS DIVISION	3
DIVISION OF HOME ECONOMICS FEDERAL EXTENSION SERVICE UNITED STATES DEPARTMENT OF AGRICULTURE	3
UNITED STATES DEPARTMENT OF COMMERICE ECONOMICS AND STATISTICS ADMINISTRATION UNITED STATES CENSUS BUREAU	3
AEROSPACE MEDICAL RESEARCH LABORATORIES AEROSPACE MEDICAL DIVISION AIR FORCE SYSTEMS COMMAND	3
COMMUNITY RESEARCH FORUM UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN	3
WASHINGTON DC UNITED STATES DEPARTMENT OF TRANSPORTATION SPRINGFIELD VA NATIONAL TECHNICAL INFORMATION SERVICE	3
WASHINGTON DC UNITED STATES DEPARTMENT OF TRANSPORTATION NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION SPRINGFIELD VA NATIONAL TECHNICAL INFORMATION SERVICE	3
FEDERAL HIGHWAY ADMINISTRATION RESEARCH DEVELOPMENT AND TECHNOLOGY	3
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION NATIONAL INSTITUTE OF MENTAL HEALTH WASHINGTON DC	3
PUBLISHED BY ORDER OF CONGRESS	3
DEPARTMENT OF STATE BUREAU OF EDUCATIONAL AND CULTURAL AFFAIRS	3
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE BUREAU OF STATE SERVICES DIVISION OF SPECIAL HEALTH SERVICES CHRONIC DISEASE PROGRAM	3
DEPARTMENT OF ENERGY ECONOMIC REGULATORY ADMINISTRATION OFFICE OF REGULATIONS AND EMERGENCY PLANNING	3
NATIONAL ACADEMY OF SCIENCE-NATIONAL RESEARCH COUNCIL	3
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY?	3
UNITED STATES DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT OFFICE OF INSPECTOR GENERAL	3
EDISUD	3
IZD-VO MOSKOVSKOGO UNIVERSITETA	3
UNIVERSITETSFORLAGET	3
ROUNDHOUSE COMMITTEE ON PRESS	3
UNITED STATES DEPARTMENT OF INTERIOR GEOLOGICAL SURVEY WATER RESOURCES DIVISION ALASKA DISTRICT	3
DEPARTMENT OF HEALTH EDUCATION AND WELFARE SOCIAL SECURITY ADMINISTRATION BUREAU OF OLD-AGE AND SURVIVORS INSURANCE	3
MARTIN COMPANY NUCLEAR DIVISION	3
UNITED STATES DEPARTMENT OF JUSTICE OFFICE OF JUSTICE PROGRAMS VIOLENCE AGAINST WOMEN GRANTS OFFICE	3
NORTH CAROLINA HISTORICAL COMMISSION	3
NATIONAL RESEARCH COUNCIL OF NATIONAL ACADEMY OF SCIENCES	3
SANDIA LABORATORY	3
UNITED STATES DEPARTMENT OF LABOR OFFICE OF INFORMATION AND PUBLIC AFFAIRS	3
UNITED STATES AEC TECHNICAL INFORMATION CENTER	3
UNITED STATES AEC DIVISION OF TECHNICAL INFORMATION EXTENSION	3
MASSACHUSETTS INSTITUTE OF TECHNOLOGY ENGINEERING PRACTICE SCHOOL	3
UNITED STATES DEPARTMENT OF INTERIOR GEOLGICAL SURVEY	3
FEDERAL TRADE COMMISSION OFFICE OF POLICY PLANNING	3
TECHNICAL INFORMATION DIVISION SANDIA CORPORATION	3
JOHNS HOPKINS UNIVERSITY	3
AVAILABLE FROM CLEARINGHOUSE COMMITTEE ON FOR FEDERAL AND SCIENTIFIC INFORMATION NATIONAL BUREAU OF STANDARDS UNITED STATES DEPARTMENT OF COMMERCE	3
KAISER ENGINEERS	3
TEXTILE RESEARCH INSTITUTE	3
RADIATION APPLICATIONS INCORPORATED	3
UNITED STATES ARMY CORPS OF ENGINEERS ENVIRONMENTAL LABORATORY	3
KNOLLS ATOMIC POWER LABORATORY GENERAL ELECTRIC CO	3
UNITED STATES ARMY WATERWAYS EXPERIMENT STATION	3
UNITED STATES FEDERAL AVIATION ADMINISTRATION OFFICE OF AVIATION RESEARCH	3
UNITED STATES FEDERAL TRANSIT ADMINISTRATION	3
URBAN MASS TRANSPORTATION ADMINISTRATION OFFICE OF MANAGEMENT RESEARCH AND TRANSIT SERVICE	3
NHTSA	3
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY PESTICIDES AND TOXIC SUBSTANCES	3
DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFFICE OF HUMAN DEVELOPMENT SERVICES OFFICE FOR HANDICAPPED INDIVIDUALS	3
DEPARTMENT OF TREASURY FISCAL SERVICE BUREAU OF PUBLIC DEBT	3
NAVY PERSONNEL RESEARCH AND DEVELOPMENT CENTER	3
UNITED STATES OFFICE OF MANAGEMENT AND BUDGET	3
UNITED STATES PUBLIC HEALTH SERVICE DIVISION OF HOSPITAL AND MEDICAL FACILITIES	3
UNITED STATES DEPARTMENT OF TRANSPORTATION FEDERAL TRANSIT ADMINISTRATION OFFICE OF RESEARCH DEMONSTRATION AND INNOVATION	3
CALIFORNIA DEPARTMENT OF WATER RESOURCES	3
ENVIRONMENTAL PROTECTION AGENCY OFFICE OF RADIATION PROGRAMS CRITERIA AND STANDARDS DIVISION	3
NORTH CAROLINA AGRICULTURAL RESEARCH SERVICE NORTH CAROLINA STATE UNIVERSITY	3
IHS DIABETES PROGRAM	3
PENNSYLVANIA DEPARTMENT OF FORESTS AND WATERS	3
HOSPITAL	3
USAF HISTORICAL DIVISION RESEARCH STUDIES INSTITUTE AIR UNIVERSITY	3
SEDA-COG	3
RESEARCH AND DEVELOPMENT CENTER FOR TEACHER EDUCATION UNIVERSITY OF TEXAS AT AUSTIN	3
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFFICE OF EDUCATION INTERNATIONAL EDUCATION DIVISION	3
ILLINOIS STATE LIBRARY	3
SL	3
UNITED STATES DEPARTMENT OF STATE FAMILY LIAISON OFFICE	3
DEPARTMENT OF STATE PUBLIC SERVICES DIVISION	3
UNITED STATES DEPARTMENT OF STATE BUREAU OF PUBLIC AFFAIRS OFFICE OF MEDIA SERVICE	3
COMMISSION ON NATIONAL AND COMMUNITY SERVICE	3
UNITED STATES WAR OFFICE	3
PUBLISHED PURSUANT TO AN AGREEMENT WITH DEPARTMENT OF AGRICULTURE UNITED STATES AND NATIONAL SCIENCE FOUNDATION WASHINGTON DC BY ISRAEL PROGRAM FOR SCIENTIFIC TRANSLATIONS	3
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE COMMUNICABLE DISEASE CENTER TECHNOLOGY BRANCH	3
JUDD AND DETWEILER PRINTERS	3
UNITED STATES DEPARTMENT OF COMMERCE NATIONAL BUREAU OF STANDARDS INSTITUTE FOR BASIC STANDARDS OPTICAL PHYSICS DIVISION	3
DIVISION OF PUBLICATIONS DEPARTMENT OF STATE	3
