[For sale by the Supt. of Docs., U.S. G.P.O.],	326
Available to the public through the National Technical Information Service,	325
U.S. Dept. of Agriculture, Forest Service, Southeastern Forest Experiment Station,	325
Information Services [distributor],	324
Books and Open-File Reports Section [distributor],	322
U.S. Dept. of the Interior, Geological Survey ;	318
U.S. Geological Survey, Branch of Information Services [distributor],	316
s.n.],	316
Strategic Studies Institute, U.S. Army War College,	315
U.S. Dept. of Agriculture, Soil Conservation Service,	315
Bureau of Public Affairs, Dept. of State,	309
U.S. Atomic Energy Commission, Technical Information Branch,	303
National Aeronautics and Space Administration; for sale by the Clearinghouse for Federal Scientific and Technical Information, Springfield, Va.	303
Congress of the U.S., Office of Technology Assessment :	302
U.S. Army Research Institute for the Behavioral and Social Sciences,	301
U.S. Dept. of Commerce, International Trade Administration :	298
U.S. Dept. of Agriculture, Forest Service, Pacific Northwest Forest and Range Experiment Station,	298
E.I. du Pont de Nemours & Co., Explosives Dept., Atomic Energy Division, Technical Division, Savannah River Laboratory,	289
Dept. of the Treasury, Internal Revenue Service,	289
U.S. Dept. of Labor, Bureau of Labor Statistics :	288
U.S. Dept. of the Interior,	287
Board of Governors of the Federal Reserve System,	286
Earth Science Information Center, Open-File Reports Section [distributor],	284
National Technical Information Service [distributor],	283
U.S. Dept. of Agriculture, Forest Service, Rocky Mountain Forest and Range Experiment Station,	283
[Supt. of Docs., U.S. G.P.O., distributor,	281
U.S. Dept. of the Interior, U.S. Geological Survey,	276
The Office :	273
For sale by the Supt. of Docs., Congressional Sales Office,	272
U.S. Fish & Wildlife Service,	268
National Bureau of Economic Research,	268
U.S. Dept. of State, Bureau of Public Affairs, Office of Public Communication, Editorial Division :	268
U.S. Dept. of Education,	268
U.S. Dept. of Commerce, Economics and Statistics Administration, Bureau of the Census,	260
Government Printing Office, Washington, D.C.,	258
U.S. Dept. of Education, Office of Educational Research and Improvement,	257
[s.n.],	255
Dept. of the Interior, Bureau of Mines,	252
GAO,	248
U.S. Army Engineer Waterways Experiment Station,	247
The Committee,	246
U.S. Environmental Protection Agency,	245
U.S. Dept. of Agriculture, Forest Service, Intermountain Forest and Range Experiment Station,	244
The Department,	244
U.S. Dept. of Housing and Urban Development,	243
[Congressional Sales Office, Supt. of Docs., U.S. G.P.O., distributor],	240
U.S. Dept. of Agriculture, Forest Service, Pacific Northwest Region,	238
U.S. Dept. of Agriculture, Forest Service, Rocky Mountain Research Station,	237
For sale by the Clearinghouse for Federal Scientific and Technical Information [distributor],	233
U.S. Dept. of Commerce, International Trade Administration,	232
U.S. Dept. of Agriculture, Agricultural Research Service,	231
for sale by the Clearinghouse for Federal Scientific and Technical Information,	230
University of California Lawrence Radiation Laboratory,	229
The Agency,	228
Northeastern Forest Experiment Station, Forest Service, U.S. Dept. of Agriculture,	227
Available from the Office of Technical Services, Dept. of Commerce,	226
The District,	224
For sale by the Supt. of Docs., U.S. Govt. Print. Off.]	222
U.S. Geological Survey, Information Services [distributor],	219
The Board,	218
The Region,	217
U.S. Dept. of Justice, Office of Justice Programs, Office of Juvenile Justice and Delinquency Prevention,	215
[For sale by the Office of Technical Services, Dept. of Commerce,	215
Books and Open-File Reports [distributor],	214
For sale by the Supt. of Docs.,	210
The Institute,	210
National Technical Information Service, distributor,	208
National Aeronautics and Space Administration, Office of Management, Scientific and Technical Information Program,	207
[For sale by the National Technical Information Service, Springfield, Virginia 22151],	207
National Academy Press,	206
For sale by the Office of Technical Services, Dept. of Commerce,	205
U.S. Dept. of Interior, Fish and Wildlife Service ;	205
United States Bureau of Mines,	203
Dept. of State,	201
U.S. Dept. of Labor, Occupational Safety and Health Administration,	200
[U.S. Govt. Print. Off],	199
U.S. National Aeronautics and Space Administration ;	198
Technical Information Division, Oak Ridge Operations,	196
Economic Research Service, U.S. Dept. of Agriculture,	196
GPO,	196
Dept. of Agriculture, Forest Service, Pacific Northwest Forest and Range Experiment Station,	193
U.S. Dept. of Housing and Urban Development, Office of Policy Development and Research,	191
National Science Foundation,	191
U.S. Dept. of Commerce, National Bureau of Standards ;	191
Dept. of Agriculture, Forest Service, Northeastern Forest Experiment Station,	190
Battelle Memorial Institute ;	189
Federal Judicial Center,	187
North Central Forest Experiment Station, Forest Service, U.S. Dept. of Agriculture,	186
Bureau of the Census,	186
Govt. print. off,	184
Gov. Prtg. Off.,	184
National Academy of Sciences,	183
U.S. Dept. of Agriculture, Forest Service, Southern Research Station,	182
U.S. Dept. of Justice, Office of Justice Programs, Bureau of Justice Statistics,	182
Federal Emergency Management Agency,	181
U.S. Dept. of Health, Education, and Welfare, Office of Education,	181
U.S. Dept. of Energy,	181
[Available from National Technical Information Service],	179
U.S. Dept. of State, Bureau of Public Affairs,	178
U.S. Govt. print. off,	178
available from National Technical Information Service,	177
Bureau of Mines,	176
Gov't Print. Off.,	175
U.S. Dept. of Agriculture, Forest Service, Pacific Southwest Forest and Range Experiment Station,	174
U.S. Dept. of the Interior, Bureau of Mines ;	174
U.S. Govt. Print Off.,	174
[For sale by the Supt. of Docs., U.S. G.P.O.,	173
Knolls Atomic Power Laboratory, General Electric Company,	172
U.S. Dept. of Justice, National Institute of Justice,	171
The Council,	170
[Govt. print. off.]	168
U.S. Dept. of Agriculture, Agricultural Marketing Service,	167
United States Institute of Peace,	166
United States Tariff Commission,	163
U.S. Dept. of Commerce and Labor, Bureau of Standards :	161
National Archives and Records Administration,	161
for sale by the Supt. of Docs., U.S. G.P.O.,	161
Govt. Print. Off,	161
U.S. Dept. of the Interior, U.S. Geological Survey :	160
U.S. Dept. of Commerce, Economics and Statistics Administration, U.S. Census Bureau :	160
Supt. of Documents,	159
For sale by the Superintendent of Documents, U.S. Govt. Print. Off.,	159
U.S. Dept. of Labor,	159
U.S. Dept. of State,	159
National Park Service,	158
U.S. Dept. of the Interior, Bureau of Land Management,	158
Available from the National Technical Information Service,	157
U.S. General Accounting Office [distributor,	156
Waterways Experiment Station ;	155
Supt. of Docs., U.S. G.P.O., distributor,	154
U.S.G.P.O.,	154
U.S. Consumer Product Safety Commission,	153
Govt. Print. Off.	152
[For sale by the Clearinghouse for Federal Scientific and Technical, Springfield, Virginia 22151],	151
National Aeronautics and Space Administration, Scientific and Technical Information Branch,	151
Southern Forest Experiment Station, Forest Service, U.S. Dept. of Agriculture,	151
Langley Memorial Aeronautical Laboratory,	150
U.S. Dept. of the Interior, Bureau of Mines :	149
Sandia Corporation ;	148
United Nations,	146
Forest Service, U.S. Dept. of Agriculture,	146
[For sale by the Clearinghouse for Federal Scientific and Technical Information, Springfield, Virginia],	145
U.S. Dept. of Agriculture, Forest Service, Technology & Development Program,	144
[U.S. Dept. of State, Bureau of Public Affairs, Office of Public Communication] :	144
U. S. Govt. Print. Off.]	144
Farmer Cooperative Service, U.S. Dept. of Agriculture,	143
For sale by the Supt. of Docs., U.S. Govt. Print. Off.	143
Forest Service, U.S. Dept. of Agriculture, Northeastern Forest Experiment Station,	143
U.S. Dept. of Health and Human Services, Public Health Service, Agency for Toxic Substances and Disease Registry,	142
Congress of the U.S., Congressional Budget Office,	142
Federal Highway Administration ;	141
The Administration ;	140
Smithsonian institution,	136
Available from the Office of Technical Services, Department of Commerce,	135
U. S. Govt. Print. Off,	135
NACA,	134
Naval Postgraduate School,	134
Library of Congress :	134
For sale by the National Technical Information Service [distributor],	133
The Service :	132
U.S. Dept. of Commerce,	132
Sandia Corporation,	131
The Division ;	130
National Endowment for the Arts,	130
Technical Information Service,	130
National Park Service, U.S. Dept. of the Interior,	130
Dept. of Agriculture, Forest Service,	130
U.S. National Bureau of Standards :	128
Supt. of Docs., U.S. G.P.O., distributor],	128
Intermountain Forest & Range Experiment Station, Forest Service, U.S. Dept. of Agriculture,	127
U.S. Waterways Experiment Station,	127
National Commission for Employment Policy,	127
U.S. Small Business Administration,	127
Battelle Memorial Institute,	127
U.S. Dept. of the Interior, Office of Saline Water,	125
U.S. Govt. Print. Off.],	124
U.S. G.P.O.	124
U.S. Postal Service,	123
U.S. Dept. of Agriculture, Bureau of Animal Industry,	123
available through the National Technical Information Service,	122
USDA Forest Service, Rocky Mountain Forest and Range Experiment Station,	122
[U.S. Govt. Print. Off.]	122
Available by subscription from the Supt. of Docs., GPO,	121
The Station,	121
United States International Trade Commission,	120
National Aeronautics and Space Administration, Scientific and Technical Information Division ;	120
For sale by the Supt. of Docs., U.S. G.P.O.	119
U. S. Govt. Print. Off.	119
Intermountain Forest and Range Experiment Station, Forest Service, U.S. Dept. of Agriculture,	118
National Aeronautics and Space Administration, Scientific and Technical Information Division,	118
U.S. Dept. of Health, Education, and Welfare, Public Health Service, National Institutes of Health,	117
U.S. Dept. of Agriculture, Animal and Plant Health Inspection Service,	116
U.S. Dept. of Justice, Bureau of Justice Statistics,	116
U.S.Bureau of Mines,	116
Oxford University Press,	115
Available from the Office of Technical Services, U.S. Dept. of Commerce,	115
The Laboratory,	115
U.S. Atomic Energy Commission, Division of Technical Information,	115
Naval Institute Press,	115
Dept. of the Air Force,	114
U. S. Govt. print. off,	113
U.S. Dept. of Labor, Women's Bureau,	112
U.S. Dept. of Transportation, Federal Highway Administration,	112
Dept. of Agriculture, Forest Service, Southeastern Forest Experiment Station,	112
Pacific Southwest Forest and Range Experiment Station, Forest Service, U.S. Dept. of Agriculture,	111
U.S. General Accounting Office],	111
C. S. A.,	110
United States Dept. of the Interior, Bureau of Mines,	110
U.S. Dept. of Agriculture, Forest Service, Intermountain Forest & Range Experiment Station,	110
U.S. Tariff Commission,	109
The Group,	109
Pacific Northwest Forest and Range Experiment Station, Forest Service, U.S. Dept. of Agriculture,	109
U.S. Dept. of Agriculture, Food and Nutrition Service,	109
The Office : for sale by the Supt. of Docs., U.S. Govt. Print. Off.,	109
U.S. Dept. of Transportation, National Highway Traffic Safety Administration,	108
Govt. print off.,	108
The Smithsonian Institution,	107
[Govt. Print. Off.]	107
U.S. Dept. of Agriculture, Forest Service, Southern Region,	106
U.S. Dept. of Justice, Office of Justice Programs, Bureau of Justice Assistance,	106
Congress of the U.S., Office of Technology Assessment,	106
Advisory Commission on Intergovernmental Relations,	106
Available from Office of Technical Services, U.S. Dept. of Commerce,	105
The Library,	105
U.S. Dept. of Agriculture, Forest Service, Southwestern Region,	105
Govt. Print. Off.]	105
Forest Products Laboratory,	105
The Smithsonian institution,	104
U.S. G.A.O.,	104
for sale by the National Technical Information Service],	104
Dept. of Agriculture, Forest Service, Intermountain Forest and Range Experiment Station,	103
NASA,	103
Dept. of Agriculture, Forest Service, North Central Forest Experiment Station,	102
For sale by the Supt. of Docs., U.S. Govt. Print. Off.],	102
U.S. Dept. of the Interior, Bureau of Reclamation,	102
Dept. of Agriculture, Forest Service, Forest Products Laboratory,	102
U.S. Dept. of Labor, Mine Safety and Health Administration, National Mine Health and Safety Academy,	101
[For sale by the Supt. of Docs., U.S. Govt. Print. Off.]	101
Center of Military History, U.S. Army :	101
War Dept.,	100
