LC 39	36	Library of Congress
E 6	35	Energy Department
A 21	35	Agriculture
LC 26	34	Library of Congress
D 15	34	Defense Department
A 5	34	Agriculture
A 43	33	Agriculture
GS 12	32	General Services Administration
TD 11	32	Transportation Department
PREX 8	32	Executive Office of the President
T 66	31	Treasury Department
D 206	31	Defense Department
PREX 9	30	Executive Office of the President
HE 21	30	Health and Human Services Department
PR 43	29	President of the United States
PR 34	29	President of the United States
E 4	29	Energy Department
T 27	29	Treasury Department
PREX 22	29	Executive Office of the President
CAB 1	29	
D 221	29	Defense Department
PR 35	28	President of the United States
L 40	28	Labor Department
HS 5	28	Homeland Security
A 107	28	Agriculture
RR 1	27	Railroad Retirement Board
A 112	26	Agriculture
T 28	26	Treasury Department
GS 6	26	General Services Administration
J 25	26	Justice Department
A 103	25	Agriculture
LC 4	25	Library of Congress
D 213	25	Defense Department
N 6	24	
J 34	24	Justice Department
S 9	24	State Department
FCA 1	24	Farm Credit Administration
HE 25	24	Health and Human Services Department
A 94	23	Agriculture
C 52	23	Commerce Department
D 202	23	Defense Department
PR 33	23	President of the United States
A 104	22	Agriculture
C 37	22	Commerce Department
SI 11	22	Smithsonian Institution
LC 2	22	Library of Congress
LC 33	22	Library of Congress
A 84	21	Agriculture
A 109	21	Agriculture
I 67	21	Interior Department
W 49	21	
A 89	20	Agriculture
FW 4	20	
E 5	19	Energy Department
D 106	19	Defense Department
SI 13	19	Smithsonian Institution
S 19	19	State Department
EP 3	19	Environmental protection Agency
D 119	18	Defense Department
W 7	18	
SI 2	18	Smithsonian Institution
FHL 1	18	
HS 1	17	Homeland Security
NF 4	17	National Foundation on the Arts and the Humanities
NC 2	17	National Capital Planning Commission
D 102	17	Defense Department
J 23	17	Justice Department
D 203	17	Defense Department
FS 9	17	
J 36	16	Justice Department
A 47	16	Agriculture
A 111	16	Agriculture
I 71	16	Interior Department
PREX 7	16	Executive Office of the President
HH 13	15	Housing and Urban Development Department
T 12	15	Treasury Department
L 22	15	Labor Department
JU 7	15	Judiciary
A 10	15	Agriculture
LC 41	15	Library of Congress
T 47	15	Treasury Department
J 31	14	Justice Department
A 6	14	Agriculture
