Congressional Record	473	6659	7.1
Statistical Abstract	137	171	80.12
United States Reports	667	1270	52.52
Foreign Relations	713	3168	22.51
Congressional Serial Set	20747	52478	39.53
Civil Rights Commission	872	3080	28.31
Economic Report Of The President	58	259	22.39
