A	SuDocs	0
A 77	A	205
A 13	A	12536
A 17	A	1125
A 1	A	4253
A 93	A	478
A 57	A	459
A 110	A	65
A 88	A	195
A 107	A	29
A 62	A	53
A 96	A	2
A 92	A	116
A 21	A	35
A 22	A	9
A 36	A	25
A 105	A	150
A 106	A	58
A 82	A	83
A 68	A	36
A 67	A	124
A 43	A	30
A 101	A	122
A 5	A	32
A 29	A	3
A 109	A	21
A 98	A	157
A 12	A	1
A 112	A	26
A 89	A	17
A 9	A	10
A 104	A	22
A 72	A	6
A 10	A	15
A 111	A	16
A 55	A	2
A 94	A	23
A 47	A	12
A 3	A	14
A 27	A	5
A 102	A	2
A 6	A	15
A 84	A	21
A 4	A	7
A 19	A	9
A 108	A	9
A 103	A	23
A 114	A	3
A 113	A	5
A 85	A	1
A 53	A	1
A 56	A	2
A 80	A	2
A 32	A	1
A 7	A	4
A 26	A	9
A 99	A	1
A 49	A	1
A 18	A	1
A 100	A	2
A 2	A	1
A 38	A	1
A 90	A	1
A 39	A	1
A 76	A	1
A 11	A	2
A 1400	A	1
A 28	A	1
A 1170	A	1
A 87	A	1
A 48	A	2
C	SuDocs	0
C 61	C	713
C 46	C	139
C 3	C	6919
C 56	C	226
C 1	C	449
C 57	C	187
C 55	C	1818
C 13	C	3878
C 12	C	1
C 4	C	52
C 60	C	103
C 51	C	152
C 30	C	35
C 18	C	766
C 25	C	5
C 62	C	10
C 41	C	89
C 39	C	69
C 21	C	100
C 31	C	49
C 59	C	111
C 14	C	4
C 6	C	52
C 37	C	17
C 47	C	103
C 58	C	10
C 22	C	850
C 52	C	22
C 42	C	65
C 24	C	1
C 40	C	6
C 8	C	2
C 43	C	4
C 54	C	4
C 35	C	2
C 3261	C	2
C 50	C	1
C 5	C	4
C 53	C	1
C 28	C	1
C 134	C	1
C 7	C	1
C 63	C	12
C 10	C	3
C 123	C	1
C 9	C	1
C 48	C	3
C 45	C	3
C 15	C	1
C 2	C	1
SBA	SuDocs	0
SBA 1	SBA	560
I	SuDocs	0
I 49	I	2709
I 29	I	1941
I 27	I	475
I 19	I	4743
I 20	I	146
I 35	I	9
I 1	I	1509
I 28	I	9273
I 53	I	645
I 33	I	63
I 72	I	91
I 66	I	35
I 17	I	1
I 16	I	49
I 7	I	2
I 10	I	3
I 5	I	1
I 64	I	1
I 63	I	3
I 67	I	13
I 4	I	2
I 8	I	1
I 9	I	1
I 69	I	13
I 21	I	6
I 18	I	7
I 70	I	57
I 68	I	1
I 13	I	1
I 11	I	1
I 1198	I	1
I 23	I	5
I 52	I	1
I 42	I	1
I 71	I	14
I 48	I	3
I 73	I	2
I 2823	I	1
I 24	I	13
I 22	I	3
I 74	I	1
I 12	I	2
I 25	I	1
I 92	I	1
I 3	I	1
HE	SuDocs	0
HE 20	HE	5921
HE 1	HE	280
HE 19	HE	277
HE 25	HE	24
HE 17	HE	78
HE 22	HE	207
HE 23	HE	303
HE 3	HE	190
HE 5	HE	79
HE 24	HE	42
HE 30	HE	1
HE 18	HE	6
HE 21	HE	28
HE 8202	HE	1
HE 6502	HE	1
HE 81	HE	1
HE 202110	HE	1
E	SuDocs	0
E 1	E	678
E 3	E	120
E 2	E	61
E 4	E	22
E 6	E	23
E 5	E	17
E 19	E	1
ED	SuDocs	0
ED 1	ED	2745
NAS	SuDocs	0
NAS 1	NAS	9876
NAS 11	NAS	1
FT	SuDocs	0
FT 1	FT	213
L	SuDocs	0
L 35	L	328
L 37	L	346
L 2	L	2330
L 36	L	240
L 13	L	370
L 1	L	697
L 16	L	161
L 7	L	41
L 38	L	291
L 29	L	179
L 40	L	28
L 20	L	14
L 5	L	34
L 28	L	4
L 39	L	7
L 34	L	3
L 22	L	15
L 14	L	1
L 47	L	1
L 8	L	1
L 26	L	1
L 31	L	1
L 15	L	2
L 23	L	10
L 33	L	2
L 3	L	2
L 27	L	1
L 25	L	2
HH	SuDocs	0
HH 1	HH	1092
HH 2	HH	5
HH 14	HH	6
HH 7	HH	5
HH 10	HH	4
HH 13	HH	15
HH 3	HH	1
HH 12	HH	1
Y	SuDocs	0
Y 10	Y	543
Y 4	Y	78556
Y 1	Y	9129
Y 3	Y	20868
Y 7	Y	41
Y 2	Y	3
Y 9	Y	3
Y 11	Y	1
Y 5	Y	2
Y 44	Y	1
Y 22	Y	1
ITC	SuDocs	0
ITC 1	ITC	746
ITC 2	ITC	1
GA	SuDocs	0
GA 1	GA	5822
GA 113	GA	1
J	SuDocs	0
J 1	J	816
J 28	J	854
J 26	J	399
J 24	J	90
J 16	J	40
J 21	J	52
J 10	J	1
J 29	J	368
J 32	J	250
J 23	J	9
J 31	J	13
J 25	J	24
J 27	J	4
J 34	J	24
J 36	J	16
J 35	J	2
J 38	J	4
J 37	J	1
D	SuDocs	0
D 301	D	822
D 101	D	4792
D 206	D	30
D 211	D	48
D 5	D	477
D 210	D	79
D 114	D	373
D 1	D	566
D 221	D	29
D 103	D	1492
D 209	D	88
D 213	D	28
D 214	D	291
D 12	D	63
D 208	D	120
D 2	D	66
D 14	D	44
D 305	D	92
D 201	D	236
D 15	D	32
D 207	D	401
D 110	D	46
D 116	D	2
D 10	D	14
D 205	D	7
D 4	D	3
D 202	D	20
D 7	D	116
D 102	D	16
D 106	D	18
D 119	D	18
D 104	D	58
D 216	D	7
D 212	D	6
D 203	D	13
D 108	D	5
D 304	D	12
D 218	D	4
D 215	D	3
D 11	D	1
D 3	D	6
D 105	D	69
D 109	D	13
D 302	D	10
D 118	D	2
D 117	D	1
D 13	D	1
D 112	D	1
D 219	D	3
D 113	D	1
D 111	D	3
D 220	D	1
SI	SuDocs	0
SI 6	SI	49
SI 8	SI	76
SI 1	SI	488
SI 2	SI	16
SI 9	SI	7
SI 11	SI	20
SI 3	SI	287
SI 18	SI	2
SI 13	SI	16
SI 7	SI	4
SI 4	SI	4
SI 14	SI	5
SI 12	SI	1
LC	SuDocs	0
LC 30	LC	103
LC 33	LC	23
LC 3	LC	66
LC 1	LC	301
LC 19	LC	140
LC 2	LC	25
LC 42	LC	11
LC 39	LC	38
LC 24	LC	13
LC 9	LC	4
LC 4	LC	22
LC 5	LC	9
LC 40	LC	10
LC 14	LC	28
LC 12	LC	4
LC 29	LC	8
LC 43	LC	6
LC 25	LC	8
LC 26	LC	35
LC 41	LC	14
LC 35	LC	7
LC 10	LC	1
LC 6	LC	7
LC 17	LC	10
LC 23	LC	5
LC 1016	LC	13
FS	SuDocs	0
FS 2	FS	258
FS 5	FS	901
FS 9	FS	17
FS 1	FS	13
FS 14	FS	149
FS 13	FS	119
FS 22	FS	1
FS 17	FS	80
FS 16	FS	3
FS 10	FS	5
FS 4	FS	12
FS 3	FS	130
FS 8	FS	1
FS 15	FS	4
FS 12	FS	1
FS 6	FS	6
FS 11	FS	1
FS 7	FS	1
EP	SuDocs	0
EP 1	EP	2703
EP 2	EP	108
EP 5	EP	169
EP 7	EP	62
EP 6	EP	105
EP 4	EP	39
EP 11	EP	10
EP 8	EP	9
EP 3	EP	14
EP 116	EP	1
EP 10	EP	4
PREX	SuDocs	0
PREX 14	PREX	72
PREX 2	PREX	186
PREX 1	PREX	247
PREX 3	PREX	1192
PREX 18	PREX	5
PREX 8	PREX	29
PREX 7	PREX	16
PREX 6	PREX	4
PREX 23	PREX	40
PREX 22	PREX	29
PREX 4	PREX	10
PREX 15	PREX	13
PREX 17	PREX	12
PREX 20	PREX	8
PREX 26	PREX	72
PREX 10	PREX	39
PREX 9	PREX	30
