1789	27
1790	24
1791	27
1792	22
1793	22
1794	12
1795	14
1796	22
1797	22
1798	24
1799	23
1800	20
1801	21
1802	30
1803	39
1804	23
1805	31
1806	33
1807	25
1808	39
1809	36
1810	46
1811	30
1812	39
1813	36
1814	39
1815	62
1816	44
1817	54
1818	35
1819	88
1820	45
1821	52
1822	49
1823	63
1824	75
1825	62
1826	45
1827	60
1828	55
1829	53
1830	119
1831	54
1832	156
1833	59
1834	98
1835	83
1836	103
1837	296
1838	90
1839	75
1840	72
1841	101
1842	85
1843	67
1844	84
1845	119
1846	119
1847	101
1848	181
1849	107
1850	220
1851	166
1852	223
1853	227
1854	311
1855	199
1856	364
1857	234
1858	287
1859	259
1860	326
1861	480
1862	486
1863	462
1864	628
1865	427
1866	415
1867	366
1868	423
1869	421
1870	399
1871	434
1872	647
1873	564
1874	550
1875	450
1876	506
1877	543
1878	470
1879	632
1880	577
1881	572
1882	665
1883	733
1884	717
1885	821
1886	1058
1887	757
1888	781
1889	859
1890	812
1891	927
1892	806
1893	1449
1894	1268
1895	1082
1896	1369
1897	1133
1898	1269
1899	1365
1900	1819
1901	1978
1902	1812
1903	1631
1904	1658
1905	1951
1906	2340
1907	2079
1908	2063
1909	2692
1910	2361
1911	2934
1912	2726
1913	3237
1914	2686
1915	2686
1916	3170
1917	3405
1918	3172
1919	3639
1920	2975
1921	2640
1922	3393
1923	1915
1924	1941
1925	1819
1926	1918
1927	2147
1928	2023
1929	4477
1930	2252
1931	2562
1932	2293
1933	2713
1934	2807
1935	2840
1936	2310
1937	2679
1938	3166
1939	3287
1940	3432
1941	4142
1942	3274
1943	2820
1944	3046
1945	3321
1946	4002
1947	5615
1948	4813
1949	6032
1950	4976
1951	4767
1952	5191
1953	4804
1954	5191
1955	5512
1956	5569
1957	6216
1958	6401
1959	7141
1960	8186
1961	8760
1962	8537
1963	9164
1964	10424
1965	9876
1966	9994
1967	9785
1968	10626
1969	10731
1970	10854
1971	11722
1972	12732
1973	13501
1974	14174
1975	16506
1976	19189
1977	19873
1978	19677
1979	20277
1980	20721
1981	18995
1982	16481
1983	16906
1984	17856
1985	16308
1986	16006
1987	15585
1988	15664
1989	16060
1990	16295
1991	14546
1992	15225
1993	13507
1994	12489
1995	13245
1996	11678
1997	11718
1998	12030
1999	19087
2000	11938
2001	8849
2002	8646
2003	8482
2004	7878
2005	6115
2006	5932
2007	5668
2008	4616
2009	5421
2010	3635
2011	1255
2012	939
2013	392
2014	36
2015	23
2016	6
