603543	m		CR 1.10:38	Above property rights. Prepared for the United States Commission on Civil Rights, by Simpson F. Lawson	1972 [i.e. 1973]	http://www.law.umaryland.edu/marshall/usccr/documents/cr11038.pdf
784971627	m		CR 1.10:38	Above property rights. [electronic resource] Prepared for the United States Commission on Civil Rights, by Simpson F. Lawson	1972 [i.e. 1973]	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/603543.html
610240	m		CR 1.10:39	Inequality in school financing: the role of the law	1972	http://www.law.umaryland.edu/marshall/usccr/documents/cr12sch616.pdf
811474570	m		CR 1.10:4	The Voting Rights Act of 1965 [electronic resource] / United States Commission on Civil Rights	1965	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/781662.html;"HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/35408330.html"
35408330x	m		CR 1.10:4	The Voting Rights Act of 1965 / United States Commission on Civil Rights	1965	
545809	m		CR 1.10:40	The diminishing barrier: a report on school desegregation in nine communities	1972	
784970062	m		CR 1.10:41	Statement on affirmative action for equal employment opportunities [electronic resource] / [by the United States Commission on Civil Rights]	1973	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/927400.html
927400	m		CR 1.10:41	Statement on affirmative action for equal employment opportunities / [by the United States Commission on Civil Rights]	1973	
615201	m		CR 1.10:42	Understanding fair housing	1973	
784970086	m		CR 1.10:42	Understanding fair housing [electronic resource]	1973	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/615201.html
921648	m		CR 1.10:43	School desegregation in ten communities	1973	
784971594	m		CR 1.10:43	School desegregation in ten communities [electronic resource]	1973	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/921648.html
592031621	m		CR 1.10:43	School desegregation in ten communities [electronic resource]	1973 [i.e. 1974]	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/1188354.html
765792	m		CR 1.10:44	Cairo, Illinois: racism at floodtide	1973	
784971611	m		CR 1.10:45	Your right to Indian welfare: [electronic resource] a handbook on the BIA General Assistance Program [prepared by Martha Ward and Sarah W. Barlow	1973	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/919408.html
919408	m		CR 1.10:45	Your right to Indian welfare: a handbook on the BIA General Assistance Program [prepared by Martha Ward and Sarah W. Barlow	1973	
3206523	m		CR 1.10:46	A guide to Federal laws prohibiting sex discrimination	1974	
812616711	m		CR 1.10:46	A guide to Federal laws prohibiting sex discrimination [electronic resource]	1974	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/3206523.html
2469870	m		CR 1.10:46/2	A guide to Federal laws and regulations prohibiting sex discrimination	1976	
568758614	m		CR 1.10:46/2	A guide to Federal laws and regulations prohibiting sex discrimination [electronic resource]	1976	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/3070445.html
1123567	m		CR 1.10:47	Para los ninos-for the children : improving education for Mexican Americans	1974]	
2089278	m		CR 1.10:48	Mortgage money, who gets it? : a case study in mortgage lending discrimination in Hartford, Connecticut	1974	
566253481	m		CR 1.10:48	Mortgage money, who gets it? : a case study in mortgage lending discrimination in Hartford, Connecticut		http://purl.fdlp.gov/GPO/gpo40910
22124945	m		CR 1.10:49	The Other side of the tracks : a handbook on nondiscrimination in municipal services	[1974]	
