Congressional Record	1171	7046	16.62
Statistical Abstract	139	173	80.35
United States Reports	733	1336	54.87
Foreign Relations	848	3254	26.06
Congressional Serial Set	20755	51556	40.26
Civil Rights Commission	873	2976	29.33
Economic Report Of The President	58	262	22.14
